e1,e2,e3,e4,e5,e6,e7,e8,e9,e10,e11,e12,e13,e14,e15,e16,e17,e18,e19,e20,e21
1.640625,1.546875,1.640625,1.75,1.6875,1.734375,3.140625,1.78125,3.125,1.6875,1.484375,3.125,3.140625,1.90625,1.34375,1.15625,1.515625,3.140625,1.484375,1.484375,3.140625
1.4375,1.703125,1.375,1.25,1.375,1.625,2.0625,1.5,1.375,1.375,1.609375,1.625,2.0625,1.375,1.375,9.9375,1.375,1.375,1.375,1.421875,1.3125
1.65625,1.546875,1.640625,1.625,1.96875,1.546875,1.640625,1.453125,1.546875,1.40625,1.484375,1.546875,1.453125,2.0625,1.453125,1.546875,10.5,1.453125,9.984375,9.984375,9.984375
1.265625,1.265625,1.59375,1.75,1.375,1.734375,1.59375,1.59375,1.375,1.296875,1.3125,10.859375,1.59375,1.5,10.78125,1.375,10.6875,10.78125,10.6875,10.78125,10.78125
1.3125,1.3125,1.375,1.3125,1.359375,1.1875,1.390625,1.4375,1.3125,1.265625,1.9375,1.9375,1.59375,1.9375,1.390625,1.9375,9.515625,9.515625,1.9375,1.9375,2.265625
1.375,1.375,1.28125,2.046875,1.390625,2.046875,1.75,1.28125,1.265625,1.28125,1.265625,1.71875,1.28125,1.71875,1.28125,1.71875,1.28125,1.75,1.71875,1.71875,1.28125
1.25,1.953125,10.40625,1.328125,1.265625,1.953125,10.4375,1.3125,1.109375,1.671875,1.46875,1.46875,10.703125,1.46875,9.59375,1.46875,11.21875,10.53125,11.21875,11.21875,11.21875
10.140625,10.140625,1.796875,1.609375,1.796875,10.140625,10.140625,1.796875,1.28125,1.8125,10.140625,10.140625,1.8125,11.015625,1.8125,11.171875,1.8125,1.8125,9.953125,9.953125,9.953125
2.5625,1.265625,1.609375,1.25,1.71875,1.578125,1.5,1.390625,1.25,1.1875,1.796875,2.25,2.234375,1.484375,1.484375,1.265625,2.34375,1.484375,9.421875,9.4375,8.3125
1.34375,1.34375,1.21875,1.328125,1.5,1.4375,1.609375,1.65625,1.328125,1.640625,1.5,1.390625,1.5625,1.375,1.4375,1.359375,1.3125,1.5625,1.3125,1.3125,1.5625
2.765625,2.765625,2.765625,2.765625,3.375,2.765625,1.328125,1.328125,2.078125,1.25,1.390625,2.078125,1.328125,1.3125,1.671875,1.390625,2.9375,1.671875,1.390625,2.21875,1.25
10.15625,1.515625,1.421875,1.515625,1.859375,10.15625,10.15625,10.15625,10.28125,1.625,10.109375,1.484375,10.15625,10.109375,1.265625,10.109375,10.109375,10.109375,10.109375,10.109375,10.109375
1.515625,1.53125,1.53125,1.53125,1.78125,1.75,1.78125,1.53125,1.75,1.296875,1.78125,1.40625,1.953125,1.78125,1.296875,9.578125,9.375,1.296875,1.5,9.359375,1.15625
1.296875,1.296875,2.59375,1.296875,1.421875,1.296875,1.421875,2.59375,1.453125,1.25,1.296875,1.53125,2.109375,1.296875,1.25,2.09375,12.421875,12.421875,1.296875,1.328125,1.421875
1.3125,1.53125,11.046875,1.3125,1.875,1.3125,11.046875,1.578125,1.3125,1.625,1.53125,11.046875,11.046875,11.203125,11.375,11.203125,11.234375,11.234375,11.375,11.375,11.375
1.65625,1.3125,1.265625,1.3125,1.265625,1.40625,1.234375,1.171875,1.625,1.328125,1.375,1.65625,1.328125,1.875,1.265625,1.375,1.3125,1.65625,1.65625,1.65625,1.328125
2.546875,1.40625,2.546875,2.140625,1.390625,2.546875,2.140625,1.640625,2.109375,1.421875,10.25,10.015625,1.859375,1.84375,9.90625,10.25,1.21875,9.90625,1.359375,9.296875,9.90625
1.390625,1.859375,1.296875,1.96875,1.859375,1.96875,1.40625,1.359375,1.96875,1.96875,1.96875,1.96875,1.96875,2.015625,1.3125,2.015625,2.0625,2.03125,2.015625,9.765625,9.703125
1.421875,1.421875,1.203125,1.265625,1.421875,1.703125,1.703125,1.703125,1.703125,1.203125,7.265625,7.265625,1.703125,7.046875,2.53125,2.421875,1.34375,1.703125,1.28125,1.28125,9.40625
1.1875,1.1875,1.234375,1.375,1.65625,1.65625,9.484375,1.875,1.375,9.015625,1.65625,8.90625,8.90625,10.375,9.234375,10.375,10.5,1.25,10.375,1.25,10.5
1.546875,1.546875,1.546875,1.546875,1.609375,1.359375,1.359375,1.234375,1.546875,1.359375,1.359375,1.359375,1.296875,1.359375,1.296875,8.921875,1.296875,9.703125,9.703125,9.703125,9.703125
2.0625,2.0625,2.109375,1.828125,1.375,2.0625,2.5625,1.375,1.828125,1.375,1.34375,1.34375,2.5625,1.640625,2.5625,1.578125,2.5625,2.5625,1.34375,10.0625,2.5625
1.53125,1.53125,2.125,1.515625,1.71875,1.671875,8.96875,1.53125,1.515625,2.21875,1.28125,9.640625,9.046875,1.796875,2.109375,9.5,9.5,2.234375,9.5,9.5,9.5
