Date,Filename,yeah idk,Num Seeds,acc,TP,TN,FP,FN,F-measure,AUC,Classifier,Classifer Parameters
5/28/18,ran_7_3_7_9_15_18_19_21,29,10,72.8,0.73,0.73,0.27,0.27,0.73,0.76,weka.classifiers.trees.RandomForest,-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1
5/28/18,ran_7_1_2_3_12_16_17_18,29,10,72,0.72,0.72,0.28,0.28,0.72,0.74,weka.classifiers.trees.RandomForest,-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1
5/28/18,ran_7_3_8_13_14_15_16_18,29,10,72,0.72,0.72,0.28,0.28,0.72,0.69,weka.classifiers.trees.RandomForest,-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1
5/28/18,ran_7_1_2_8_10_11_16_19,29,10,71.6,0.72,0.71,0.29,0.28,0.71,0.71,weka.classifiers.trees.RandomForest,-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1
5/28/18,ran_7_3_8_13_15_16_17_19,29,10,71.6,0.72,0.71,0.29,0.28,0.72,0.74,weka.classifiers.trees.RandomForest,-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1
5/28/18,ran_7_1_3_9_11_13_16_19,29,10,71.6,0.72,0.71,0.29,0.28,0.71,0.74,weka.classifiers.trees.RandomForest,-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1
5/28/18,ran_7_2_5_9_13_15_18_21,29,10,71.6,0.72,0.72,0.28,0.28,0.71,0.76,weka.classifiers.trees.RandomForest,-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1
5/28/18,ran_7_6_7_13_15_16_17_18,29,10,71.2,0.71,0.71,0.29,0.29,0.71,0.79,weka.classifiers.trees.RandomForest,-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1
5/28/18,ran_7_2_8_9_12_18_20_21,29,10,71.2,0.71,0.72,0.28,0.29,0.71,0.76,weka.classifiers.trees.RandomForest,-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1
5/28/18,ran_7_2_7_8_9_12_13_21,29,10,71.2,0.71,0.71,0.29,0.29,0.71,0.74,weka.classifiers.trees.RandomForest,-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1
5/28/18,ran_7_2_7_8_12_13_16_20,29,10,70.8,0.71,0.71,0.29,0.29,0.71,0.76,weka.classifiers.trees.RandomForest,-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1
5/28/18,ran_7_2_7_10_15_16_19_21,29,10,70.8,0.71,0.71,0.29,0.29,0.71,0.77,weka.classifiers.trees.RandomForest,-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1
5/28/18,ran_7_2_4_6_15_18_19_21,29,10,70.4,0.7,0.7,0.3,0.3,0.7,0.75,weka.classifiers.trees.RandomForest,-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1
5/28/18,ran_7_1_2_4_5_6_8_21,29,10,70.4,0.7,0.71,0.29,0.3,0.7,0.75,weka.classifiers.trees.RandomForest,-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1
5/28/18,ran_7_2_3_7_11_12_14_21,29,10,70.4,0.7,0.71,0.29,0.3,0.7,0.71,weka.classifiers.trees.RandomForest,-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1
5/28/18,ran_7_2_4_5_6_15_20_21,29,10,70,0.7,0.7,0.3,0.3,0.7,0.72,weka.classifiers.trees.RandomForest,-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1
5/28/18,ran_7_1_5_7_9_10_12_15,29,10,70,0.7,0.7,0.3,0.3,0.7,0.76,weka.classifiers.trees.RandomForest,-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1
5/28/18,ran_7_2_5_6_16_18_19_21,29,10,70,0.7,0.7,0.3,0.3,0.7,0.79,weka.classifiers.trees.RandomForest,-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1
5/28/18,ran_7_6_9_11_13_14_16_20,29,10,69.6,0.7,0.69,0.31,0.3,0.7,0.71,weka.classifiers.trees.RandomForest,-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1
5/28/18,ran_7_7_9_12_16_17_19_21,29,10,69.6,0.7,0.7,0.3,0.3,0.7,0.75,weka.classifiers.trees.RandomForest,-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1
5/28/18,ran_7_2_3_4_11_12_16_17,29,10,69.6,0.7,0.7,0.3,0.3,0.69,0.74,weka.classifiers.trees.RandomForest,-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1
5/28/18,ran_7_6_8_12_14_16_17_19,29,10,69.6,0.7,0.69,0.31,0.3,0.69,0.7,weka.classifiers.trees.RandomForest,-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1
5/28/18,ran_7_1_2_8_15_18_19_21,29,10,69.2,0.69,0.69,0.31,0.31,0.69,0.78,weka.classifiers.trees.RandomForest,-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1
5/28/18,ran_7_1_7_10_13_14_15_16,29,10,69.2,0.69,0.7,0.3,0.31,0.69,0.75,weka.classifiers.trees.RandomForest,-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1
5/28/18,ran_7_2_5_6_12_13_15_21,29,10,68.8,0.69,0.7,0.3,0.31,0.69,0.71,weka.classifiers.trees.RandomForest,-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1
5/28/18,ran_7_9_12_13_14_17_19_20,29,10,68.8,0.69,0.69,0.31,0.31,0.69,0.67,weka.classifiers.trees.RandomForest,-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1
5/28/18,ran_7_8_12_13_16_17_18_21,29,10,68.8,0.69,0.69,0.31,0.31,0.69,0.63,weka.classifiers.trees.RandomForest,-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1
5/28/18,ran_7_1_4_9_15_17_19_20,29,10,68.4,0.68,0.69,0.31,0.32,0.68,0.8,weka.classifiers.trees.RandomForest,-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1
5/28/18,ran_7_2_3_11_12_13_16_20,29,10,68.4,0.68,0.69,0.31,0.32,0.68,0.74,weka.classifiers.trees.RandomForest,-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1
5/28/18,ran_7_2_3_4_6_9_13_15,29,10,68.4,0.68,0.69,0.31,0.32,0.68,0.65,weka.classifiers.trees.RandomForest,-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1
5/28/18,ran_7_3_4_6_7_9_12_13,29,10,68.4,0.68,0.68,0.32,0.32,0.68,0.73,weka.classifiers.trees.RandomForest,-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1
