electrode1,electrode2,electrode3,electrode4,electrode5,electrode6,electrode7,electrode8,electrode9,electrode10,electrode11,electrode12,electrode13,electrode14,electrode15,electrode16,electrode17,electrode18,electrode19,electrode20,electrode21
12.863,8.1421,37.936,12.559,21.022,12.725,-1.6351,7.5565,6.2476,5.9948,1.5056,7.4718,-5.4192,12.218,4.249,18.839,13.425,5.2422,11.132,18.727,4.8758
18.069,8.834,41.423,16.322,23.676,18.602,4.6099,12.519,7.3944,5.8634,8.788,12.997,-2.3779,15.717,5.9589,24.886,20.145,8.5992,15.038,20.326,7.31
18.612,6.5224,42.726,16.702,24.686,21.675,8.3759,14.486,6.5686,7.0868,13.906,15.747,1.424,17.216,8.2254,28.821,23.983,12.434,17.595,20.439,9.7921
14.973,2.7539,42.36,14.26,24.09,21.503,9.1323,13.731,3.7457,9.0407,15.611,15.212,4.7126,15.988,9.9581,28.981,24.167,15.479,17.445,18.801,11.313
9.3091,-1.1203,41.137,10.488,22.251,18.385,7.3903,11.279,-0.088248,10.684,14.028,12.178,6.5584,12.831,10.605,25.372,21.788,17.029,14.498,15.944,11.596
4.3683,-4.5178,39.654,7.0486,19.471,13.383,4.2436,8.0345,-3.3539,11.136,10.596,8.473,6.7781,9.5784,10.309,19.751,18.778,16.919,9.9883,13.041,11.032
1.9232,-7.5093,38.259,4.888,16.017,7.9108,0.93,4.5474,-4.8512,10.222,7.1472,5.9441,5.9996,7.8191,9.6576,14.63,16.742,15.408,5.6335,11.162,10.318
1.8168,-10.207,37.305,3.8464,12.409,3.1599,-1.5038,1.3817,-4.452,8.5348,4.8688,5.3901,5.2209,7.9576,9.2341,11.901,16.321,13.121,2.6758,10.633,10.007
2.3873,-12.272,37.233,3.0823,9.5261,-0.22769,-2.469,-0.61567,-2.9648,6.9605,3.9132,6.2532,5.1117,9.2889,9.2575,11.991,17.233,10.932,1.4885,11.038,10.222
1.9512,-13.049,38.3,1.908,8.2649,-2.1466,-1.9955,-0.67422,-1.4609,6.0685,3.6932,7.2208,5.5667,10.775,9.4898,13.92,18.708,9.6172,1.7582,11.742,10.676
0.14083,-12.21,40.243,0.30559,8.9801,-2.8621,-0.67958,1.1823,-0.72671,5.84,3.3651,7.1394,5.8299,11.685,9.4263,16.056,19.942,9.3757,2.8186,12.34,10.903
-1.9427,-10.208,42.32,-1.2312,11.182,-2.8352,0.63596,3.8646,-1.1038,5.8641,2.1413,5.5447,5.0675,11.695,8.6175,17.007,20.329,9.5587,3.8717,12.662,10.51
-2.7425,-8.0353,43.784,-2.2253,13.802,-2.5617,1.33,5.8451,-2.4816,5.7659,-0.50269,2.6257,2.9769,10.671,6.94,16.185,19.493,8.9872,4.1898,12.525,9.3276
-1.4633,-6.5291,44.388,-2.5634,15.866,-2.4421,1.3209,6.2099,-4.2826,5.5103,-4.577,-1.0674,0.046075,8.5974,4.7173,13.851,17.353,6.8023,3.4244,11.676,7.4962
1.4646,-5.9217,44.431,-2.4275,17.002,-2.7055,0.9599,5.166,-5.6284,5.3658,-9.3957,-4.8274,-2.7018,5.7166,2.6443,10.758,14.284,3.247,1.8682,10.077,5.5319
4.838,-5.9916,44.275,-2.0267,17.364,-3.3453,0.56328,3.5635,-5.8174,5.5616,-13.729,-7.8725,-4.3453,2.6389,1.4952,7.7233,11.159,-0.34606,0.35088,8.1981,4.2087
7.5014,-6.4835,43.871,-1.4469,17.111,-4.0417,0.055866,2.027,-4.8082,5.923,-16.341,-9.4847,-4.6688,0.1681,1.7027,5.3781,8.9796,-2.4771,-0.31233,6.8805,4.1533
8.9356,-7.2503,42.841,-0.69582,16.074,-4.1852,-0.83769,0.6446,-3.2415,5.8512,-16.618,-9.2794,-4.2621,-1.1489,3.0791,4.0526,8.2655,-2.574,0.048318,6.7181,5.3672
9.4136,-8.0187,41.057,0.21908,14,-3.1326,-1.9979,-0.5826,-1.9506,4.7519,-14.851,-7.4374,-4.0083,-1.444,4.918,3.6933,8.6835,-1.3414,0.77874,7.451,7.1128
9.8048,-8.1855,39.097,1.3261,11.135,-0.58908,-2.5892,-1.2563,-1.4039,2.5625,-11.983,-4.6614,-4.3863,-1.5365,6.4072,3.8523,9.2841,-0.17044,0.87883,7.9906,8.347
11.116,-7.0138,38.055,2.7784,8.4625,3.1912,-1.4892,-0.75828,-1.5268,-0.11899,-8.9705,-1.82,-5.1773,-2.3844,7.0186,3.9068,9.1573,-0.22485,-0.21898,7.2005,8.3849
13.88,-4.1529,38.817,4.8042,7.2366,7.5447,1.8422,1.1216,-1.9503,-2.433,-6.2733,0.48745,-5.7369,-4.3037,6.6362,3.4626,8.0219,-1.8746,-2.1994,4.8526,7.2707
17.695,-0.061707,41.427,7.4453,8.1562,11.688,6.862,3.9163,-2.4005,-3.8232,-3.8258,2.1468,-5.469,-6.5899,5.4791,2.6229,6.3923,-4.6205,-4.0983,1.9233,5.6248
21.306,4.0263,45.013,10.286,10.867,14.891,12.264,6.9198,-2.9102,-4.321,-1.439,3.4168,-4.0853,-7.9354,3.9785,1.8867,5.2842,-7.3367,-4.9936,-0.076504,4.164
23.306,6.6412,48.264,12.497,14.212,16.545,16.776,9.7932,-3.7202,-4.4147,0.83659,4.645,-1.6138,-7.358,2.6338,1.8149,5.6292,-8.757,-4.5626,-0.18971,3.2762
22.991,6.8283,50.082,13.279,16.976,16.315,19.733,12.608,-4.9749,-4.6584,2.7731,6.0595,1.6247,-4.8723,1.8093,2.7861,7.6974,-8.1515,-3.116,1.3958,2.9113
20.729,4.6394,49.988,12.397,18.495,14.367,21.063,15.304,-6.4826,-5.2615,4.3211,7.7346,4.9901,-1.376,1.5623,4.9449,10.878,-5.8345,-1.2367,3.677,2.8049
17.574,1.0184,48.14,10.332,18.71,11.402,20.922,17.252,-7.7585,-5.8958,5.7542,9.6025,7.6105,2.0524,1.6649,8.1706,13.995,-3.0362,0.56102,5.6704,2.8143
14.5,-2.8258,45.074,7.9171,17.821,8.2919,19.393,17.474,-8.3143,-5.9121,7.3361,11.352,8.679,4.7876,1.8264,11.958,15.959,-1.1384,1.9317,6.9756,3.0488
11.882,-6.0748,41.403,5.7919,15.978,5.5684,16.484,15.318,-7.9413,-4.9207,8.8303,12.298,7.7846,6.7628,1.9102,15.367,16.263,-0.87114,2.6501,7.6768,3.6366
9.5173,-8.5569,37.678,4.1312,13.256,3.2325,12.336,10.937,-6.7876,-3.305,9.4172,11.522,5.0257,8.1193,1.9641,17.262,15.053,-2.0676,2.5647,7.8417,4.3555
6.988,-10.576,34.405,2.7801,9.8719,1.0485,7.4607,5.196,-5.2432,-2.1419,8.2001,8.433,0.90849,8.8162,2.0962,16.826,12.883,-3.9936,1.581,7.1938,4.584
4.0185,-12.539,32.094,1.5553,6.3736,-0.98138,2.7914,-0.74511,-3.7564,-2.469,4.9116,3.4173,-3.7658,8.5509,2.3504,14.038,10.448,-5.8398,-0.31667,5.3055,3.7589
0.71352,-14.557,31.188,0.43386,3.6293,-2.4373,-0.57361,-5.7456,-2.6514,-4.4838,0.2559,-2.042,-7.9565,7.0231,2.668,9.7893,8.3736,-7.0687,-2.9643,2.1388,1.9597
-2.3447,-16.197,31.875,-0.44504,2.5309,-2.7784,-1.8576,-8.8071,-2.0005,-7.3803,-4.3647,-6.0948,-10.562,4.2769,2.9147,5.4897,7.0097,-7.589,-5.9075,-1.6253,0.0057255
-4.3013,-16.646,33.922,-0.90001,3.5031,-1.8658,-1.0058,-9.2715,-1.652,-9.9419,-7.5415,-7.6646,-10.832,0.80827,2.9488,2.3612,6.3016,-7.7487,-8.484,-4.8751,-1.1056
-4.648,-15.335,36.657,-0.87638,6.0995,-0.23643,1.2987,-7.2208,-1.4363,-11.351,-8.5508,-7.1027,-8.8018,-2.6439,2.7147,0.85724,5.909,-8.061,-10.146,-6.7693,-0.93805
-3.8648,-12.564,39.194,-0.56036,9.0461,1.1821,4.0041,-3.7566,-1.3522,-11.603,-7.6657,-5.7923,-5.3687,-5.4308,2.3038,0.5849,5.5373,-8.754,-10.74,-7.1756,0.1276
-3.349,-9.4106,40.802,-0.30338,10.882,1.7517,6.1728,-0.65401,-1.4985,-11.348,-5.9217,-5.0108,-1.8726,-7.2027,1.9122,0.75536,5.1729,-9.5141,-10.443,-6.4305,1.3065
-4.4221,-6.9006,41.276,-0.36498,10.859,1.6183,7.291,0.65195,-1.8319,-11.408,-4.4762,-4.9933,0.57896,-7.9235,1.7152,0.78953,5.0184,-9.7174,-9.4257,-4.7608,2.0779
-7.2269,-5.2777,41.032,-0.72579,9.4112,1.5216,7.3036,0.044555,-2.114,-12.268,-3.9806,-4.9555,1.6244,-7.782,1.7712,0.63268,5.2566,-8.9849,-7.6861,-2.0806,2.5211
-10.592,-4.143,40.775,-1.2083,7.7373,2.0603,6.4259,-1.246,-2.1885,-13.768,-4.3887,-3.9885,1.6781,-7.0966,2.0363,0.62481,5.8837,-7.5665,-5.2665,1.606,3.0828
-13.011,-3.2444,40.856,-1.7839,6.8048,3.1174,4.8823,-1.7298,-2.2491,-15.158,-5.2597,-1.9846,1.4672,-6.2175,2.4516,1.1319,6.6717,-6.2241,-2.5694,5.7233,4.0412
-13.807,-2.968,40.848,-2.6747,6.6516,3.992,2.7602,-0.94501,-2.6962,-15.532,-6.1821,0.23351,1.422,-5.4043,3.001,2.2526,7.2031,-5.7138,-0.32635,9.2039,5.1741
-13.463,-3.9859,39.801,-4.0755,6.5826,4.0416,0.10629,0.22789,-3.6884,-14.409,-6.9276,1.6238,1.4078,-4.7134,3.6924,3.7644,7.0098,-6.2527,0.83337,11.135,5.9372
-13.024,-6.4688,37.117,-5.7849,5.9675,3.1852,-2.8141,0.46495,-4.9075,-12.05,-7.3234,1.7473,1.0158,-3.9792,4.4912,5.2773,5.8506,-7.3321,0.79704,11.359,5.9862
-13.21,-9.6673,33.302,-7.1724,4.8137,1.9115,-5.347,-0.81245,-5.8139,-9.2625,-7.1441,0.96484,0.11636,-2.9406,5.2724,6.4687,3.9492,-8.0269,-0.036202,10.49,5.5355
-13.965,-12.233,29.86,-7.5616,3.6297,0.98484,-6.5869,-3.0466,-6.1014,-6.8812,-6.2084,-0.021768,-0.88783,-1.4541,5.8342,7.2611,1.9158,-7.6329,-1.127,9.3717,5.1829
-14.667,-13,28.284,-6.7048,2.8451,1.1302,-5.813,-5.1245,-5.8819,-5.3504,-4.5508,-0.70645,-1.3735,0.36208,5.9765,7.8284,0.35665,-6.1876,-2.1383,8.4889,5.3482
-14.744,-11.666,28.977,-4.9686,2.4221,2.7154,-2.971,-6.1981,-5.492,-4.682,-2.4429,-0.92631,-1.0537,2.1714,5.6158,8.4075,-0.46087,-4.446,-2.9682,7.7947,5.8825
-14.165,-8.9274,31.018,-3.1113,2.0095,5.4228,1.1505,-6.0137,-5.1851,-4.6677,-0.21506,-0.68751,-0.19046,3.609,4.8753,9.0545,-0.56189,-3.3008,-3.561,6.9988,6.2397
-13.406,-5.9619,32.948,-1.8196,1.4314,8.2101,5.2488,-4.7153,-4.9899,-5.0647,1.9556,-0.0056632,0.75694,4.4605,4.0753,9.572,0.04553,-3.1143,-3.7648,6.0096,6.0279
-12.962,-3.617,33.815,-1.3264,0.98266,9.8469,8.1686,-2.6052,-4.7996,-5.6488,4.0974,1.0957,1.6434,4.7262,3.5919,9.723,1.5299,-3.4939,-3.3491,5.1573,5.3968
-12.978,-1.9887,33.575,-1.3987,1.198,9.7319,9.4097,-0.18561,-4.6012,-6.2316,6.2621,2.513,2.725,4.5915,3.6634,9.5657,4.0357,-3.6388,-2.0904,5.0616,4.9317
-13.436,-0.80906,32.628,-1.7323,2.2907,8.2156,9.0741,1.6954,-4.6733,-6.7048,8.2262,3.9729,4.2242,4.3368,4.2886,9.5571,7.332,-2.9423,0.13715,6.2601,5.2151
-14.683,-0.24604,31.125,-2.3973,3.7997,6.0759,7.3658,2.0079,-5.5349,-7.023,9.3398,4.925,5.8724,4.1749,5.2774,10.215,10.664,-1.4454,3.1942,8.8147,6.434
-17.508,-1.1305,28.808,-3.8309,4.8036,3.7477,4.2297,0.14778,-7.5533,-7.0787,8.7657,4.5632,6.9437,4.0701,6.3469,11.556,12.942,0.089423,6.4423,12.094,8.2467
-22.387,-4.1207,25.518,-6.264,4.5479,1.1976,-0.37894,-3.3863,-10.461,-6.6136,6.0727,2.194,6.7442,3.7199,7.1397,12.848,13.15,0.51105,8.7177,14.888,9.8883
-28.5,-8.5434,21.826,-9.1155,3.0195,-1.4664,-5.7939,-6.867,-13.25,-5.3373,1.7716,-2.1571,5.0729,2.8053,7.2075,13.012,10.808,-1.1004,8.7879,15.879,10.447
-33.637,-12.249,19.096,-11.048,1.0686,-3.4921,-10.316,-8.1032,-14.659,-3.2019,-2.7018,-7.4432,2.2676,1.3298,6.1146,11.436,6.2774,-4.8349,6.1169,14.244,9.2626
-35.433,-12.944,18.725,-10.785,-0.027945,-3.8267,-11.9,-5.7481,-13.922,-0.58822,-5.6738,-12.028,-1.0946,-0.28659,3.6828,8.4942,0.71496,-9.7663,1.3301,10.032,6.3274
-33.106,-9.9458,21.067,-8.0443,0.66646,-2.0414,-9.5035,-0.22914,-11.214,1.7795,-6.147,-14.592,-4.4776,-1.4864,0.21078,5.3013,-4.376,-14.342,-4.0763,4.104,2.4472
-28.268,-4.8057,24.92,-3.8099,3.125,1.1386,-3.9647,6.4703,-7.5148,3.1546,-4.2741,-14.746,-7.3959,-1.9904,-3.51,2.9337,-7.7504,-17.076,-8.5773,-2.229,-0.99824
-24.003,-0.22845,28.137,0.24831,6.3278,4.2945,2.4173,12.05,-4.0441,3.1432,-1.0709,-12.91,-9.2676,-1.9684,-6.4105,1.8228,-8.7789,-17.073,-11.34,-7.5706,-2.6227
-22.829,1.7617,29.001,2.7421,8.8633,6.3444,7.2606,15.152,-1.6452,1.9171,2.3367,-9.7662,-9.4444,-1.8145,-7.5209,1.804,-7.4297,-14.174,-12.352,-10.712,-1.6375
-25.104,0.92793,27.244,3.2209,9.7085,7.1542,9.2688,15.696,-0.44445,0.11548,5.286,-5.9558,-7.5668,-1.7639,-6.4012,2.5748,-4.1111,-8.8809,-12.063,-10.922,1.8002
-29.078,-1.5024,23.926,2.1388,8.6566,7.2049,8.4266,14.299,0.01128,-1.5415,7.5515,-2.2221,-3.9558,-1.7459,-3.4324,3.9322,0.39605,-2.2739,-11.018,-8.3005,6.6382
-32.455,-4.0466,20.442,0.30263,6.2404,6.7868,5.4856,11.599,0.22298,-2.6739,8.8995,0.41385,0.42028,-1.618,0.28914,5.56,5.023,4.156,-9.7059,-3.9145,11.366
-34.092,-5.9324,17.651,-1.6803,3.3713,5.6468,1.4844,8.1338,0.2446,-3.3714,8.8049,0.94761,4.4922,-1.4913,3.5222,6.8098,8.7474,8.9725,-8.5143,0.61774,14.698
-34.481,-7.1497,15.781,-3.5484,0.9453,3.4496,-2.4148,4.6775,-0.2995,-3.9394,6.7277,-0.92376,7.6935,-1.7232,5.5766,6.992,11.081,11.47,-7.5899,4.0018,16.192
-34.849,-7.8488,14.843,-5.1632,-0.4919,0.48091,-5.102,2.3461,-1.6758,-4.5152,2.736,-4.3573,10.081,-2.5192,6.5955,6.0198,12.264,12.054,-6.6904,5.9796,16.4
-35.88,-7.863,14.873,-6.2849,-0.94804,-2.222,-5.9624,2.1466,-3.5431,-4.9247,-2.1587,-7.6854,11.925,-3.5705,7.1915,4.6772,12.875,11.876,-5.2982,7.2416,16.35
-37.239,-6.8485,15.762,-6.627,-0.9271,-3.4932,-5.2742,4.2972,-5.066,-4.9052,-6.4029,-9.3737,13.215,-4.189,7.7786,4.0529,13.176,11.896,-3.06,8.5806,16.683
-38.16,-4.8249,17.047,-6.1178,-1.0804,-2.85,-4.0577,7.9776,-5.5818,-4.4555,-8.8305,-8.9346,13.542,-3.8843,8.1972,4.5653,12.823,12.174,-0.22181,10.043,17.154
-38.33,-2.4625,18.075,-5.0468,-1.7718,-0.80637,-3.3801,11.794,-5.1706,-3.9511,-9.3957,-7.1489,12.383,-2.8206,7.9114,5.5066,11.233,11.989,2.368,10.844,16.91
-38.135,-0.71712,18.468,-3.8848,-2.8606,1.5317,-3.6947,14.597,-4.5568,-3.8938,-9.0968,-5.4968,9.4891,-1.6744,6.5204,5.5862,8.2125,10.586,3.736,10.058,15.274
-38.098,-0.11218,18.378,-2.9103,-3.8457,3.2461,-4.7219,15.998,-4.4369,-4.5365,-9.1563,-5.2575,5.0477,-1.043,4.1013,3.996,4.1868,7.7683,3.3319,7.3693,12.283
-38.223,-0.37807,18.235,-2.0109,-4.2505,4.1723,-5.8101,16.287,-4.8769,-5.739,-10.151,-6.8788,-0.41472,-1.0192,1.1478,1.0209,-0.16511,3.836,1.2099,3.2042,8.5586
-37.997,-0.79716,18.244,-0.87717,-3.962,4.8612,-6.346,15.967,-5.3267,-7.1507,-11.765,-9.893,-6.2163,-1.3189,-1.7441,-2.2922,-4.4017,-0.82465,-2.1595,-1.7051,4.7884
-37.04,-0.84509,18.171,0.61038,-3.2685,6.0296,-5.9347,15.452,-5.1855,-8.4714,-13.218,-13.233,-11.569,-1.6941,-4.1416,-4.9582,-8.3651,-5.8724,-6.0864,-6.7043,1.4024
-35.631,-0.46141,17.644,2.2002,-2.5767,7.9671,-4.4205,15.133,-4.3492,-9.5246,-13.854,-15.664,-15.532,-2.0814,-5.8415,-6.5346,-11.765,-10.757,-9.6633,-11.166,-1.3303
-34.508,0.19648,16.633,3.4556,-2.073,10.321,-1.9355,15.516,-3.2541,-10.176,-13.403,-16.199,-17.141,-2.3642,-6.798,-6.948,-13.868,-14.565,-11.797,-14.263,-3.091
