electrode1,electrode2,electrode3,electrode4,electrode5,electrode6,electrode7,electrode8,electrode9,electrode10,electrode11,electrode12,electrode13,electrode14,electrode15,electrode16,electrode17,electrode18,electrode19,electrode20,electrode21
-5.1423,-10.843,-6.9082,3.8356,-7.9323,-3.1114,-2.184,-2.3263,1.7514,-1.1995,-1.0173,2.0561,-0.15565,2.4786,12.877,4.4806,10.681,11.93,4.4834,8.803,16.221
-4.2897,-10.853,-6.9765,4.1128,-7.6804,-3.2537,-2.8024,-2.7025,1.2072,-1.7034,0.11418,1.8595,-0.65247,5.4931,13.852,5.0757,10.109,11.421,6.3585,9.634,16.914
-3.9102,-10.524,-6.4439,3.3591,-7.0517,-3.8374,-3.1203,-2.1327,1.7824,-2.3034,0.60744,0.87196,-0.13431,8.9825,14.164,5.7739,9.4253,10.865,8.4461,10.416,17.23
-4.5583,-10.71,-5.3157,1.4857,-5.863,-5.1166,-2.7733,-0.62571,2.8491,-2.4861,0.11606,-1.5085,1.2818,12.013,14.19,5.8419,9.212,10.789,9.7198,10.332,17.626
-6.1661,-11.953,-3.7653,-1.0281,-4.503,-6.9861,-1.6618,1.3878,3.6005,-1.891,-1.3248,-5.5692,2.9068,13.612,14.308,4.5383,9.5719,11.155,9.2827,8.7705,18.172
-8.1812,-14.131,-2.0054,-3.368,-3.7016,-9.0307,0.036139,3.3573,3.5018,-0.63182,-3.3804,-10.862,4.1025,13.335,14.769,1.7257,10.306,11.619,6.9951,5.8363,18.637
-9.9636,-16.522,-0.31593,-4.8965,-3.8896,-10.726,1.8233,4.8479,2.5209,0.78391,-5.6497,-16.268,4.4241,11.469,15.417,-1.9224,11.072,11.801,3.5783,2.281,18.625
-11.118,-18.229,0.84377,-5.5144,-4.8876,-11.69,2.9565,5.5559,1.1589,1.7567,-7.85,-20.441,3.5442,8.7722,15.572,-5.2541,11.451,11.388,0.17686,-0.97335,17.728
-11.515,-18.645,0.93197,-5.5456,-6.2054,-11.777,2.7998,5.2677,0.2188,1.8832,-9.7553,-22.294,1.4113,6.0217,14.381,-7.2418,11.052,10.181,-2.2493,-3.2657,15.713
-11.063,-17.645,-0.27987,-5.2881,-7.4675,-10.962,1.3137,3.9793,0.29984,1.1474,-10.981,-21.285,-1.4542,3.7038,11.477,-7.455,9.7053,8.2092,-3.3137,-4.3306,12.67
-9.5671,-15.461,-2.3483,-4.6877,-8.4466,-9.1672,-0.73859,2.1047,1.3209,-0.050956,-10.961,-17.518,-3.9871,1.9681,7.3759,-6.1598,7.6143,5.8383,-3.2141,-4.2304,9.0062
-6.9056,-12.485,-4.2754,-3.4335,-8.8598,-6.3466,-2.1414,0.46312,2.5097,-1.1219,-9.3025,-11.71,-5.0655,0.71532,3.2299,-4.0752,5.3348,3.7278,-2.4551,-3.2664,5.2887
-3.3957,-9.2133,-5.1259,-1.3529,-8.4449,-2.7766,-1.9459,-0.11646,2.9455,-1.6798,-6.2326,-5.026,-4.1065,-0.30578,0.14104,-1.9962,3.5734,2.5634,-1.5086,-1.9041,2.0823
0.087262,-6.2558,-4.6425,1.2906,-7.341,0.79933,-0.030653,0.67938,2.2463,-1.8102,-2.6361,1.2593,-1.3648,-1.3762,-1.4022,-0.4766,2.8923,2.6947,-0.61963,-0.64798,-0.16549
2.5318,-4.1477,-3.3014,3.876,-6.1693,3.5016,2.912,2.4681,0.84712,-1.9842,0.48229,6.1873,2.1918,-2.6018,-1.6158,0.35159,3.4434,3.9124,0.19189,0.14038,-1.2295
3.4929,-2.9778,-1.7609,5.7816,-5.4488,4.9239,5.916,4.5371,-0.35182,-2.6937,2.6893,9.4078,5.3185,-3.7365,-1.1289,0.78519,4.8625,5.5212,1.0076,0.3636,-1.2231
3.4238,-2.2272,-0.22832,6.6814,-4.9142,5.4329,8.3505,6.4327,-0.68311,-4.0594,4.3322,11.094,7.0414,-4.2868,-0.62658,1.3115,6.4088,6.6593,1.845,0.12697,-0.63131
3.2907,-1.1213,1.6651,6.6209,-3.635,5.8307,10.141,8.2317,-0.16305,-5.6409,6.0592,11.541,7.0932,-3.9582,-0.61877,2.1732,7.3026,6.672,2.5046,-0.47554,-0.15779
3.8362,0.75042,4.3808,6.0015,-0.97158,6.7078,11.53,10.289,0.69961,-6.593,8.1002,10.846,6.0223,-3.0883,-1.3149,3.0511,7.0801,5.365,2.5432,-1.5159,-0.40516
5.1458,3.1065,7.8236,5.5249,2.6189,8.0777,12.669,12.739,1.52,-6.1713,9.962,8.9939,4.8528,-2.5608,-2.562,3.2195,5.7676,3.0603,1.5035,-3.1302,-1.5574
6.7624,5.1913,11.1,5.8839,5.7791,9.4954,13.394,15.187,2.4113,-4.3068,10.788,6.211,4.4103,-3.1291,-3.9088,2.1357,3.8081,0.44508,-0.6785,-5.2234,-3.2686
8.0617,6.2764,12.926,7.1954,7.191,10.4,13.311,16.809,3.6997,-1.7704,10.041,3.1347,4.7497,-4.7221,-4.8485,-0.04511,1.821,-1.7354,-3.4403,-7.2961,-4.8482
8.5533,6.0336,12.427,8.7394,6.3415,10.384,12.106,16.817,5.2897,0.32364,7.9337,0.54444,5.1884,-6.4173,-5.1111,-2.5104,0.34207,-2.9942,-5.8382,-8.6406,-5.6319
8.0366,4.6036,9.7448,9.5105,3.626,9.3395,9.828,14.965,6.3959,1.3142,5.2925,-1.0798,4.9898,-7.1528,-4.7494,-4.3313,-0.34336,-3.2376,-7.1281,-8.7761,-5.29
6.645,2.4373,5.9921,9.1324,0.043589,7.4931,6.9429,11.754,6.0074,1.3665,3.0002,-1.731,4.0996,-6.5162,-3.9215,-4.9843,-0.22189,-2.6374,-7.1469,-7.6957,-3.8774
4.7578,0.063863,2.5715,8.0675,-3.1314,5.2983,4.1255,8.157,3.7369,1.0734,1.488,-1.6446,3.2569,-4.9019,-2.5924,-4.4343,0.56687,-1.3654,-6.1367,-5.6791,-1.6393
2.7946,-2.0885,0.40396,6.8496,-4.6688,3.2031,1.972,5.1262,0.31504,0.75077,0.67044,-0.95533,3.3915,-3.0049,-0.51738,-2.8696,1.8917,0.54984,-4.2703,-2.9207,1.2018
1.0416,-3.7603,-0.41928,5.3682,-3.8516,1.4749,0.80748,3.2656,-2.7664,0.2151,0.27894,0.3698,4.821,-1.2584,2.3858,-0.51057,3.6584,3.0737,-1.4903,0.54365,4.4489
-0.37538,-4.8523,-0.49767,3.2209,-1.0383,0.21255,0.58534,2.7148,-4.271,-0.77277,0.1741,2.2543,6.8553,0.24858,5.6149,2.2901,5.6282,5.8486,2.1099,4.4995,7.7307
-1.4402,-5.4101,-0.76645,0.69462,2.1025,-0.54705,0.84106,3.0738,-4.0927,-2.0391,0.31916,4.23,8.1169,1.4648,8.132,4.8817,7.229,8.0832,5.8483,8.2535,10.381
-2.2305,-5.5988,-2.0872,-1.0313,3.1874,-0.803,0.82618,3.4369,-3.2163,-3.12,0.55592,5.5388,7.4453,2.1829,9.0043,6.4497,7.6943,8.9116,8.6084,10.849,11.666
-2.9066,-5.6146,-4.7817,-0.96566,0.53857,-0.66382,-0.077643,2.821,-2.7673,-3.7534,0.56372,5.5926,4.7586,2.2308,8.1116,6.4653,6.5651,8.0084,9.5866,11.686,11.255
