C,F,LT,O,P,RT
"(9, -11.798882609892345)","(0, 16.052230463892776)","(8, 12.018153521286294)","(27, -10.85039984180819)","(18, 12.568083273355384)","(11, 10.61917362287037)"
"(10, -10.518115757572984)","(1, 14.96981492496013)","(12, 11.755960033615084)","(28, -14.677471166699046)","(19, 11.717611806439836)","(16, 10.108066100797673)"
"(13, -9.59496001225269)","(2, 14.9369830254976)","(17, 8.790568160948602)","(29, -13.265575193872522)","(21, 7.531333781786191)","(20, 7.403908399673468)"
"(14, -13.38799499289101)","(3, 11.217286141858224)","(41, 11.875409289906235)","(66, -10.63703376036789)","(22, 10.382500851877207)","(44, 9.482942835288767)"
"(15, -10.734889338811726)","(4, 12.082629052065336)","(56, 11.222122628541547)","(67, -8.81267599774131)","(23, 12.95944594633949)","(57, 11.484754246291745)"
"(38, -10.666276735300697)","(5, 11.038713610856252)","(58, 7.728529779910762)","(91, -11.197692318327128)","(24, 12.625306703426087)","(59, 7.638038639490664)"
"(39, -11.375673712243156)","(6, 10.200613638144183)","(62, 9.887098831637488)","(92, -12.105982505070278)","(25, 9.217957889218587)","(63, 10.848850078859005)"
"(40, -10.750583821710293)","(7, 10.041617833763782)","(64, 5.598987804026148)","(93, -10.560403530741896)","(26, 12.857312854997778)","(65, 6.6488722315688165)"
"(42, -13.543766451045386)","(30, 15.629368929745658)","(77, 11.292390432764643)","(120, -9.447723679489043)","(45, 10.403737565343368)","(76, 12.12667184335765)"
"(43, -11.158808447193909)","(31, 13.78065773807489)","(81, 12.041282840931405)","(123, -12.520346900513204)","(46, 12.399837821493323)","(80, 9.241127094164478)"
"(73, -10.571903974939218)","(32, 12.945300205687005)","(98, 11.443785946119299)","(124, -12.273135528035429)","(47, 9.944400527956484)","(84, 8.132891318754032)"
"(74, -10.166983202048785)","(33, 12.623534501996494)","(102, 10.851383340023943)","(125, -13.1612540106674)","(48, 11.009842492565918)","(101, 11.2311696852492)"
"(75, -10.746815979521223)","(34, 12.559917085591309)","(103, 13.198225890225794)",,"(49, 11.492227092071559)","(106, 9.54698675971848)"
"(78, -11.6039056454605)","(35, 10.911195836132004)","(108, 12.11518352363735)",,"(50, 11.892331023219706)","(107, 10.929183588708488)"
"(79, -10.680768517732838)","(36, 9.463330169075755)","(112, 5.658507643038972)",,"(51, 10.084417241994634)","(111, 10.735207214844781)"
"(99, -10.884394826266027)","(37, 12.038128936802142)",,,"(52, 9.51076314080443)","(115, 7.485355953999601)"
"(100, -10.369804822140251)","(70, 12.920846783233063)",,,"(53, 10.744660225524063)",
"(104, -12.148741556572771)","(71, 13.21072086250208)",,,"(54, 11.634247293999923)",
"(105, -13.045740782611922)","(72, 12.05018462164715)",,,"(55, 12.174256881677234)",
,"(94, 14.920561754777578)",,,"(60, 9.793666017934324)",
,"(95, 15.615112145021609)",,,"(61, 9.37644279871217)",
,"(96, 13.499119817402482)",,,"(68, 8.571503750159168)",
,"(97, 14.49181274508996)",,,"(69, 6.667300252928013)",
,,,,"(82, 11.564812148009263)",
,,,,"(83, 10.41102561911476)",
,,,,"(85, 11.064465733250996)",
,,,,"(86, 12.518965852521307)",
,,,,"(87, 11.61059153818097)",
,,,,"(88, 11.50327913382464)",
,,,,"(89, 12.867298389301649)",
,,,,"(90, 12.40569632207078)",
,,,,"(109, 12.412501006551057)",
,,,,"(110, 11.997504112081666)",
,,,,"(113, 12.814561900505147)",
,,,,"(114, 12.151192023234445)",
,,,,"(116, 7.655537607900294)",
,,,,"(117, 10.054102210910731)",
,,,,"(118, 12.622714159849686)",
,,,,"(119, 8.803812445440954)",
,,,,"(121, 13.163049733554686)",
,,,,"(122, 12.106047641509736)",
