C,F,LT,O,P,RT
"(9, 0.31026068424405784)","(0, -0.5174019959798186)","(8, 0.4723405282344413)","(27, 0.39491337100378265)","(18, 0.3067836427258248)","(11, -0.3944176982480767)"
"(10, 0.31714264235115525)","(1, -0.5288664795840059)","(12, 0.5754920608726671)","(28, 0.3882917811933264)","(19, 0.33966416303202435)","(16, -0.34872622038714224)"
"(13, 0.3491531786412124)","(2, -0.5096270398080253)","(17, 0.4443160496545704)","(29, 0.43495552718384617)","(21, 0.38474102364497453)","(20, -0.350769009807165)"
"(14, 0.32593853162559505)","(3, -0.3981126221437309)","(41, 0.49680333548709926)","(66, 0.38723606348808853)","(22, 0.3770481380321839)","(44, -0.34963976243629946)"
"(15, 0.3012355471247813)","(4, -0.35377495803742576)","(56, 0.5513976759737779)","(67, 0.4136339166718052)","(23, 0.36772311828218907)","(57, -0.4328464919470204)"
"(38, 0.354255471134724)","(5, -0.3593899618802266)","(58, 0.5181072601440733)","(91, 0.3405316334130812)","(24, 0.41936356983865775)","(59, -0.3519776223557321)"
"(39, 0.35947647668796107)","(6, -0.36995852780325544)","(62, 0.5680611187710878)","(92, 0.3595072695039211)","(25, 0.39227930786217224)","(63, -0.3734405407327625)"
"(40, 0.336999371593774)","(7, -0.2836193375876019)","(64, 0.4127289128460701)","(93, 0.4091764694357661)","(26, 0.41656636247015316)","(65, -0.3497370997505442)"
"(42, 0.31704340013836557)","(30, -0.4543728576862457)","(77, 0.39726181581468784)","(120, 0.39939482918375463)","(45, 0.34521012890837527)","(76, -0.38871058011692)"
"(43, 0.3553746316527663)","(31, -0.45381809799101963)","(81, 0.39588227109477786)","(123, 0.4259891350629833)","(46, 0.31088402263664355)","(80, -0.3398292162633382)"
"(73, 0.33826451916690353)","(32, -0.4834517190522648)","(98, 0.4881412947845951)","(124, 0.40496355454606586)","(47, 0.37191659716283376)","(84, -0.34742617321429103)"
"(74, 0.3303255545280691)","(33, -0.4622928799989614)","(102, 0.5958650411252979)","(125, 0.39498624310507385)","(48, 0.3965451921154235)","(101, -0.40607323583298)"
"(75, 0.34076364917721663)","(34, -0.37755066942772797)","(103, 0.5177424063083207)",,"(49, 0.3427169464096757)","(106, -0.41431210484203623)"
"(78, 0.3356296034209784)","(35, -0.35968448820277066)","(108, 0.5161208365709099)",,"(50, 0.3630569578499251)","(107, -0.4045733196218593)"
"(79, 0.3319157152989425)","(36, -0.3380638796485419)","(112, 0.42398949604406105)",,"(51, 0.42212003105230705)","(111, -0.3267265618096633)"
"(99, 0.3835195563098773)","(37, -0.37833928738128)",,,"(52, 0.37710120219934695)","(115, -0.35273493145751)"
"(100, 0.33636723234444277)","(70, -0.39428964329681304)",,,"(53, 0.3799361667862394)",
"(104, 0.3472255843234925)","(71, -0.4476947985655997)",,,"(54, 0.41788964735989487)",
"(105, 0.31743990311499154)","(72, -0.38104483652786064)",,,"(55, 0.44858188332663307)",
,"(94, -0.52887981916417)",,,"(60, 0.3529541717396883)",
,"(95, -0.5235369294152278)",,,"(61, 0.41448622812149805)",
,"(96, -0.41606293228763347)",,,"(68, 0.3606591330507869)",
,"(97, -0.44046312539184496)",,,"(69, 0.3650037044903773)",
,,,,"(82, 0.3279447283417172)",
,,,,"(83, 0.32615096488533335)",
,,,,"(85, 0.3886153577158956)",
,,,,"(86, 0.3439406597145148)",
,,,,"(87, 0.3878431602654478)",
,,,,"(88, 0.3942201542990208)",
,,,,"(89, 0.39718646651677125)",
,,,,"(90, 0.3977644228493686)",
,,,,"(109, 0.29460567469586685)",
,,,,"(110, 0.32166376649977935)",
,,,,"(113, 0.3718221534366397)",
,,,,"(114, 0.3548400655259221)",
,,,,"(116, 0.37451722135630694)",
,,,,"(117, 0.38041270289544993)",
,,,,"(118, 0.43241859934027144)",
,,,,"(119, 0.3931939458516132)",
,,,,"(121, 0.39461048190831255)",
,,,,"(122, 0.4318412153626746)",
