F_C,LT_C,O_C,P_C,RT_C,LT_F,O_F,P_F,RT_F,O_LT,P_LT,RT_LT,P_O,RT_O,RT_P
-0.16076207332262005,0.1981481767679103,-0.17936223851002087,-0.1986034211427592,-0.025156608160572524,0.17756297463435677,0.14662435608337,-0.38061479878086146,0.10675713043766777,-0.1844993367211205,-0.18994084203880224,0.0483232930759252,0.03833233106002254,0.20380694797161203,0.07705293109170608
-0.13274302860625453,0.07716267706133301,-0.10562446867023444,-0.19820859029912638,-0.07654176706109864,0.34014631890688013,0.07242681777895399,-0.30093720952199277,0.07532571490092907,-0.12437936281201017,-0.1088639538699091,0.006843427517250565,0.048819410234452555,0.17742732968007627,0.05410007818321164
-0.07730608385173464,0.5157122238539059,-0.16552768455953987,-0.07185484760693407,0.0010813751108131597,0.1928990326451933,0.050155247051088564,-0.426657423621218,0.017395809186222303,-0.16815329693381403,-0.08840831169535616,0.017831599288126714,0.037537575216336265,0.14453933456383308,0.16104418200951584
-0.0902520309600933,0.08300135954328076,-0.11495152985991465,-0.029522178605236,-0.2945397838677228,0.3195517116815735,0.014325406256402502,-0.3828592914606345,0.03251584866193344,-0.0298389514956831,-0.021728623065155737,-0.0036346463040003115,0.031930392441791425,0.16136242866845113,0.15515468867838766
-0.026559668115322763,0.0033942494569839643,-0.13938914749156361,-0.11810187381659454,-0.2592655352989,0.2363997091694741,0.05743991538684142,-0.340715511120784,0.13871813164311406,-0.06992782476005195,-0.03141272760684836,0.035634723150488316,0.05063136249680509,0.08670139278133837,0.120394886977517
-0.16464148978121496,0.2593916965732341,-0.25986681318151833,-0.08599522717650851,-0.1133883990064014,0.264228441180133,0.0372287642495478,-0.3112528118911234,0.20435822685049393,0.011475781722795824,-0.017773022480260095,0.023458568209825115,0.04288824361228662,0.14022939874823734,0.08992423998611827
-0.16508074805826403,0.11142573390460092,-0.33789448374250436,-0.1371065732542323,-0.46836099422278876,0.1949292580825449,0.025529667405853485,-0.2591271847337467,0.09420656111186287,-0.03207417893048731,-0.039812971406857314,0.024371662689709698,0.07343446950085021,0.1050783930054433,0.07041732751630149
-0.1486631169739726,0.08012629604506526,-0.3281114527726519,-0.12918437396198706,-0.6114651916953397,0.19142758369318089,0.08030121809150162,-0.30737165618914825,0.08957574896443674,-0.18075073838121483,-0.039915550224538285,0.09429792785532247,0.057253627969552294,0.1005538181048163,0.1412733056506309
-0.08962322119464171,0.13023638329016066,-0.194306798800307,-0.11446036216335655,-0.0967204268055117,0.11877604735466134,0.18492832147283603,-0.05453868800391286,0.1008141118543042,-0.11725507133171596,-0.052460758105528756,0.03573761156846179,0.04447532476364847,0.15380230511557427,0.025542995689532683
-0.05124176581876243,0.05447463038632082,-0.18312096910381598,-0.1960316998290769,-0.14446480664582634,0.22299598564001374,0.2765364194354602,-0.07947832440002897,0.16937751466303325,-0.07933775557252214,-0.05522695623944898,0.0073052548660555465,0.06761270098834955,0.11169429061504092,0.025488597740418232
-0.25573870055206743,0.4187374712626203,-0.24728801536592682,-0.05615495403183303,-0.0809172885017159,0.11941247521063426,0.35190322272912433,-0.118876277481976,0.5041362124584468,-0.1262936838961568,-0.04662915237703045,0.054132521241479596,0.05657224181183241,0.15171868621895987,0.03556717493622062
-0.20054468176050078,0.2043517767155395,-0.3158416582935181,-0.16610251345257337,-0.20227971244571527,0.07769728788798995,0.21001008782623068,-0.04149530003180634,0.20973096145872389,-0.013690837863267703,-0.016409344434979583,0.014662936083942016,0.048071389396650906,0.12590591186701938,0.18515264241205767
-0.18622775442030323,0.09947725349893564,-0.33846774729513085,-0.1724611448134038,-0.5909874568791481,0.16772120773554824,0.2583779537686654,-0.06144289419229491,0.10298747937144834,-0.06846210514513841,-0.029817150995558424,0.03264659776237122,0.08283259926342919,0.023339320220100775,0.09689564419555553
-0.12872413899653126,0.23391678297205948,-0.20222072257872878,-0.1106421209664163,-0.09627028070211657,0.17070168638707678,0.38325079694559466,-0.1464448030643834,0.3899008776143293,0.006545572635732171,-0.014977972384332757,-0.003160486943206929,0.06374607738369513,0.02190775540101113,0.11557421962941035
-0.10380619402006579,0.05116074185567143,-0.2683276819925922,-0.14470300726640878,-0.6052147082497382,0.13213663857572203,0.37517874532454826,-0.13817096462311318,0.4722300417185897,-0.21728119570734925,-0.031008695467430288,0.10648507540575657,0.03562945268196814,0.013131137092637997,0.08540997642691023
-0.18128875945161005,0.14210954942397666,-0.34779353241727,-0.15294782804805823,-0.4594510823936905,0.09704865484616297,0.3079300183976155,-0.043448629152521685,0.26496742022966047,-0.070803360340248,-0.08928971945898094,0.16903313970274222,0.07770458506680386,0.007840341722331369,0.1954480579354665
-0.1596952541291319,0.10996686632767108,-0.33452017143880863,-0.14574610577669198,-0.47140386478350355,0.17008680811332774,0.3734441243664061,-0.11531258754977815,0.32725664199205445,-0.08798038843242798,-0.1298069001684803,0.17087688297604417,0.04156656821109032,-0.002971083307907307,0.164443242342378
-0.14849525035446323,0.19405158632804098,-0.21550826578164264,-0.1900775718042445,-0.1361456311348926,0.15607551365522637,0.3243935042544423,-0.09343727682007072,0.30113437998893444,-0.11701569916612664,-0.058420474799756344,0.01630252756933437,0.0843678626914263,0.009660171043152211,0.11976414245369872
-0.11267535817325247,0.0708376221554097,-0.2867672640258749,-0.18525321584533694,-0.38687011389296955,0.13663250873939903,0.38388705530688233,-0.14327181612840362,0.4655982306161854,-0.05182016346754201,0.0023518485717822887,-0.006016602640893856,0.10066381940507074,0.00441178641245102,0.12927715250501506
-0.17202259877371437,0.13786448984048913,-0.01685032211564254,-0.0934800375981081,-0.20603826302613262,0.1474564609082558,0.2714908274855013,-0.07481699575837841,0.19241244405244268,-0.08951787576582428,-0.004861960789092208,0.005758922999810625,0.04561568003814448,0.0008167186301403904,0.19046186582391927
-0.16302682326913343,0.11948687496570712,-0.05356250376019434,-0.007600997775416502,-0.17718425127566498,0.12157363221218127,0.2686625549108072,-0.07319358934846633,0.2542193713452558,0.003946947966229295,-0.04079614893217247,-0.0023375863630083504,0.08236283602707789,0.010115714097012559,0.12556109469315835
-0.06885776175883723,0.029263227353786923,-0.1736270429722223,-0.22112347852192843,-0.12809420764496368,0.2747315541293432,0.2877751800693008,-0.07375739242572783,0.15472131378528706,-0.034554803427199396,-0.0016874340417205533,0.012589827797914633,0.048622815555268525,0.01026471999569899,0.1210882241753569
-0.10920818452089541,0.009687853582542521,-0.15773114329125137,-0.06636189899792375,-0.16184173334098842,0.10890596337582646,0.3751432836861892,-0.11998109602420336,0.5648958093066277,-0.06782650239760674,-0.07143573822285257,0.002666988247697156,0.08546245864497173,0.009140144118988905,0.14779776773415135
