31.358,27.668,30.597,24.727,36.429,19.413,8.4747,59.559,34.905,8.3305,12.886,9.0674,11.725,8.7899,47.632,12.392,33.607,5.0702,14.174,21.543,5.7007
68.041,61.604,66.059,66.239,80.805,40.707,29.133,126.96,64.946,24.493,26.109,17.831,31.206,23.845,191.78,25.396,69.347,17.126,47.056,40.938,18.777
54.123,49.965,50.068,43.457,53.946,30.373,20.858,89.111,38.432,15.634,16.92,14.211,21.543,17.2,139.9,16.114,43.199,11.856,31.388,26.132,12.5
38.816,35.239,35.359,28.066,27.124,20.556,14.194,50.975,23.584,9.1208,11.47,10.459,14.573,16.41,92.081,11.682,25.771,8.4264,17.65,17.184,10.417
39.721,37.823,37.171,19.465,19.366,15.094,11.463,28.063,18.292,5.8239,7.7442,8.1334,10.515,9.293,51.223,9.6806,19.012,6.1183,15.218,13.125,6.9629
27.376,25.545,24.514,13.412,13.099,11.214,8.1522,15.956,10.357,3.1076,5.576,6.6251,7.257,6.8182,33.504,7.8679,15.923,5.1695,10.484,10.205,6.4173
17.41,16.655,14.725,9.8555,9.0361,8.8156,5.6613,12.128,7.6855,2.8828,4.9408,5.5598,5.3775,5.0627,18.453,5.8702,12.712,4.5737,8.362,8.8684,6.1909
11.556,11.248,10.984,6.8938,6.6085,5.86,4.7617,8.1885,5.0252,2.3202,3.8509,5.1002,4.3212,4.2346,14.939,4.8315,10.464,3.7256,7.4743,6.9947,4.5531
8.559,8.599,7.9852,6.4235,5.5159,6.1328,5.4535,7.1381,4.6194,1.9455,4.314,5.5485,4.6002,2.8805,9.6778,5.3654,10.969,3.8462,6.6137,7.4548,4.8069
7.7937,8.1298,8.3128,5.3251,5.1064,5.5154,5.1809,6.3371,4.7734,1.9789,4.046,5.7808,4.2592,2.5222,7.7017,5.2505,9.1341,4.1199,6.9994,7.5239,4.8501
7.5345,7.9713,6.8619,5.1513,5.0679,5.2866,5.2138,6.042,4.4001,1.5163,4.4972,6.4144,4.0773,2.7572,6.1085,6.191,10.047,4.1322,7.308,7.8111,5.0662
5.0233,5.5731,5.5422,3.9774,4.8645,4.3362,4.9011,5.1182,2.7242,1.3619,3.637,5.5542,3.8017,2.3621,5.1227,4.8502,9.0084,3.7983,5.5175,6.3052,4.8548
4.7649,5.147,4.7147,4.4067,3.9671,4.5612,4.3754,4.5683,2.5829,1.3984,3.1951,4.2317,3.4414,2.1294,4.6389,3.9804,7.7509,3.4071,4.4848,4.7167,4.3295
3.7975,4.0114,3.9064,3.7248,3.6229,3.8462,3.9756,4.0469,1.7861,1.1564,3.6591,4.4221,3.4952,2.0145,4.5401,4.4615,7.4163,3.5533,4.0472,4.4454,4.2402
3.3947,3.372,3.746,3.5144,3.665,4.0966,4.5558,4.415,1.8019,1.0844,3.9529,4.3545,4.1091,2.1088,4.2308,4.4099,7.7055,4.2649,3.6802,4.1675,4.4547
3.4409,3.646,3.6375,3.9173,3.9359,4.6722,5.1635,4.405,1.6284,1.1793,6.4249,6.518,5.4443,2.6689,4.8425,6.7612,8.0283,6.3339,4.6261,5.5122,5.2347
3.2988,3.3942,3.4466,3.604,3.8388,4.292,5.3348,4.6018,1.6742,1.2527,6.0085,6.4783,5.4726,3.1582,5.3821,7.1393,9.0205,6.5426,5.8945,6.4248,6.8991
3.5007,3.5994,3.7446,3.9159,3.5241,4.7514,6.1306,4.7607,1.9474,1.3719,6.1952,6.7538,5.6828,3.3805,6.1485,7.4709,9.9511,7.4166,6.2908,7.1642,8.3925
3.8139,4.2099,3.8708,4.1652,3.9454,5.3478,5.675,4.7937,2.0084,1.437,6.6318,7.6565,5.579,3.7706,7.2097,8.1672,9.8712,7.811,7.4834,8.4007,10.512
4.896,5.4324,5.188,4.1479,4.9043,6.5699,7.6032,6.5629,2.5829,1.5239,8.0563,10.109,6.6524,5.2723,8.2119,10.913,11.158,8.5021,10.741,10.695,12.12
7.549,8.437,6.6237,6.0315,6.5803,10.038,11.198,9.1952,4.3552,2.4521,11.531,15.694,9.6453,6.6477,10.781,14.292,14.059,11.046,15.155,16.296,16.993
11.715,13.369,11.421,8.7202,9.7159,15.233,18.792,15.285,5.9643,3.3308,15.695,22.505,14.109,8.6781,13.935,16.887,17.79,13.835,18.465,20.324,25.051
24.855,27.162,25.235,15.526,19.774,31.505,39.53,32.666,6.8509,6.0025,27.894,38.964,25.337,12.424,30.408,21.787,23.008,19.824,22.834,29.82,64.306
57.849,61.864,53.915,35.258,43.934,73.603,87.678,72.447,10.363,11.748,58.613,78.97,45.259,22.79,70.356,31.954,35.159,27.806,42.064,47.956,176.61
19.471,21.199,18.995,12.701,15.508,25.055,30.532,25.063,4.8318,4.5776,22.166,31.032,18.511,10.933,30.557,16.965,22.711,19.868,24.01,28.449,79.142
8.2606,8.8091,9.2941,6.265,7.9,11.066,14.646,11.804,3.2165,2.7743,11.062,15.666,11.197,6.8805,10.707,10.99,15.382,12.351,14.551,15.177,23.872
6.4814,7.2217,7.0351,4.595,6.1971,8.5926,12.196,9.8558,2.4993,2.5122,10.338,13.95,10.063,6.5596,7.7032,12.147,13.998,10.724,11.755,10.593,15.336
7.2445,8.0466,7.1235,4.6469,6.0364,8.7851,12.091,9.7044,2.7578,2.4952,10.007,15.339,9.8626,6.2896,6.7299,12.606,13.859,10.747,12.549,11.717,13.991
8.7898,9.5521,8.3309,4.3676,6.8504,10.584,14.655,11.719,2.5755,2.4443,12.247,18.912,12.586,6.6255,6.437,14.678,15.006,13.186,12.783,12.755,12.17
