col 1,col 2,col 3,col 4,col 5,col 6,col 7,col 8,col 9,col 10,col 11,col 12,col 13,col 14,col 15,col 16,col 17,col 18,col 19,col 20,col 21,col 22,col 23,col 24,col 25,col 26,col 27,col 28,col 29,col 30,col 31,col 32,col 33,col 34,col 35,col 36,col 37,col 38,col 39,col 40,col 41,col 42,col 43,col 44,col 45,col 46,col 47,col 48,col 49,col 50,col 51,col 52,col 53,col 54,col 55,col 56,col 57,col 58,col 59,col 60,col 61,col 62,col 63,col 64,col 65,col 66,col 67,col 68,col 69,col 70,col 71,col 72,col 73,col 74,col 75,col 76,col 77,col 78,col 79,col 80,col 81,col 82,col 83
41772,56418,61860,20682,18633,16428,5480.6,9281.9,13682,14749,8873.3,63466,16127,25350,19051,19358,1.59E+05,9283.8,20744,43041,39089,44443,25374,35836,10548,51476,8825.8,20079,9772,12068,4890.9,22836,14892,2609.3,19908,6089,17494,13920,5604.3,20239,24022,5222.2,11325,6927.3,8359.2,41447,17342,7243.3,15307,8696.1,20503,25194,3264.5,14950,8584.2,3394,14380,39511,12209,4.25E+07,43372,80457,18759,7975,7678.5,6853.6,74779,15421,9212.2,28565,10088,7206.7,6684.6,2566.7,4862.3,3802,35389,8275.4,2839.5,6.62E+05,54019,4959,-
16037,21912,38957,3.00E+05,35711,34154,57943,66923,92713,53631,25241,47094,21817,28808,28079,31928,29425,15499,15154,43572,24352,41849,59007,30069,73805,47506,1.33E+05,37881,49227,67825,66605,28493,31272,32354,1.01E+05,60272,21629,65262,57285,35894,54796,69103,71071,24512,40319,16559,22629,14224,37840,57946,91109,29036,15627,48205,24342,21726,1.53E+05,35194,47039,30089,64708,49253,29157,15018,21130,23552,31408,1.51E+05,33114,42271,1.30E+05,33719,30363,26823,69042,68358,28714,26377,38458,63062,34772,1.74E+05,-
5273.5,99204,84951,49899,15834,5070.5,68794,7957.2,580.92,11930,3219,7645.5,4082.4,30014,4023,4873.5,5110.1,13766,4785.8,1.42E+05,31168,22078,14509,4057.8,18630,23706,5730.7,34189,1.13E+05,1.28E+05,59352,25371,9362.8,4338.2,17073,7284.2,13953,1721,9520.8,2502.2,5868.3,13230,14250,15854,12592,27295,7734.6,38528,7531.9,15238,14914,23148,10609,41676,14202,10378,8906.3,10964,1799.1,70354,1.22E+05,10839,1.94E+05,1.08E+05,49431,1.30E+05,34355,3206.3,3417.5,5194.8,4171.2,1717.6,49483,12636,5079.3,7466.7,13255,8722.1,4549.2,3579.5,4434.3,10996,+
1.14E+05,50440,17576,37331,54554,1.18E+05,45821,47048,58899,98242,24630,65347,1.29E+05,18992,72419,41149,41520,1.16E+05,23271,99239,56467,1.35E+05,44355,1.35E+05,22888,18227,52476,1.17E+05,1.20E+05,83411,24728,48123,2.09E+05,35332,67343,54793,1.04E+05,27179,79710,85589,51330,65355,92006,12377,34871,28647,63564,44204,33459,30321,81534,59525,33975,34549,50972,1.18E+05,37761,58514,54118,71799,29840,59205,38888,57887,15967,2.13E+06,46351,25954,2.44E+05,62472,1.20E+05,38072,16724,13845,23334,65257,32844,77764,23376,43028,39436,1.06E+05,+
57158,24418,1.53E+05,1.52E+05,58375,1.02E+05,92569,4.07E+05,42457,48944,26831,79669,55060,90372,2.67E+05,55130,39467,1.59E+05,1.18E+05,76247,1161.8,2.25E+05,76587,12262,7697.2,45307,1.29E+05,1.73E+05,35213,71180,46866,7782.9,1.94E+05,70324,1.61E+05,56781,2.44E+05,1.23E+05,2.17E+05,1.55E+05,1.61E+05,2.36E+05,1.91E+05,1.70E+05,1.57E+05,75405,3.27E+06,1.17E+06,1.54E+06,1.22E+06,2.25E+05,56422,34735,1.11E+05,42234,89551,1.11E+05,83747,3.33E+05,46108,41937,43055,16317,1.03E+05,58770,42521,43359,65491,93749,29031,34958,48555,73150,2.40E+05,10314,56415,48841,94611,78023,29020,30893,12885,+
10548,16890,25258,44456,54439,10585,20917,22191,36395,1.41E+05,5691.4,20273,18760,34776,20963,5762.2,47272,95003,55621,1.49E+05,9900,9880.3,32669,24196,31636,13295,1.25E+05,17673,11786,17909,18638,14062,4238.3,23866,21033,2.09E+05,46504,57958,1.76E+05,23579,32155,30697,1.17E+05,54299,22734,35845,10694,12841,11222,19321,12792,12484,11665,12107,21038,10196,15288,19363,31272,5898.9,6172.6,14479,26844,55193,26133,8371.7,25101,23262,11734,15973,55783,55422,17424,7933.3,23347,12133,10020,20939,1.16E+05,22952,38872,32690,+
9712.9,2778.4,14517,11649,8659.4,3939.1,32463,7033.8,7899.8,8992.6,2141.5,4018.5,12106,4232.6,4888.4,3573.1,8637.4,3896.3,7478.2,15266,4225.5,5997.8,1.17E+05,22264,10447,5154.5,1346,3732.2,7571.2,14363,4948.2,12585,23582,4278.5,1486.1,13033,3308.6,3085.4,1.66E+05,17178,3747.5,55637,5897.6,82510,7831.7,10121,4646.9,6102.1,2160.6,1913.5,5066.3,2870.9,10501,81798,5476.1,7853,5814,13317,5050.6,2855.9,4917.5,12142,5670.4,8.21E+06,7944,6889.7,3699.8,6.56E+06,3490.2,2379,3099.9,2509.5,4699.9,4286.9,17887,6577,12880,4346,6769.7,3456.8,3981.5,14449,+
41717,49542,89883,3.05E+05,38748,1.07E+05,1.31E+05,74934,38616,1.37E+05,42645,53260,88832,1.94E+05,91918,49548,1.57E+05,46801,93734,68212,81584,93647,88283,24133,1.38E+05,75733,3.98E+05,1.09E+06,5.24E+05,1.45E+06,3.14E+05,4.69E+05,2.84E+05,3.55E+05,83738,55431,82208,95094,37562,1.33E+05,94427,1.12E+05,27443,53715,63210,1.57E+05,70405,1.83E+05,4.40E+05,2.70E+05,1.43E+05,85062,83499,56645,2.09E+05,71865,46689,46304,65661,32210,55722,1.69E+05,40815,51596,94475,26421,95360,1.63E+05,57752,27985,40337,93115,87208,77115,87550,39227,18876,47695,61055,79549,67561,18875,+
2296.8,3458,12417,1.55E+05,1131.5,3506.5,13361,2479.9,5139.1,4651.9,56852,14122,5846.7,8808,2.09E+05,16665,61593,18968,3275,8840.4,21206,34657,1.65E+05,46007,9.86E+05,5626.2,3925.6,7157.1,52457,20682,70023,17520,3.95E+05,4766.3,5909.5,9573.7,38841,2225.5,5046.7,1908.9,1.29E+05,1.63E+05,3842.5,17702,26000,21368,60262,2.18E+05,17057,7585.2,4.28E+05,7320.3,35028,1.12E+05,1.89E+05,2.51E+05,2101.7,7605.3,45243,17221,1.08E+05,47713,17664,3265.4,5123.3,6068.1,5.46E+05,3939.9,1.29E+05,1.77E+05,17753,6199.6,56113,18176,26297,35386,1.25E+05,1.31E+05,4.82E+05,54071,2.99E+05,1.04E+05,+
49138,59522,8636.6,20712,3.67E+05,1.74E+05,5.27E+05,7.97E+05,4.89E+05,2.17E+05,64224,1.52E+05,1.49E+05,33537,12508,10755,3990.4,1.54E+05,2.12E+05,59855,3.37E+05,1.39E+05,1.28E+05,38515,17570,12092,1.04E+05,1.62E+05,1.58E+05,8.07E+05,3.77E+05,49343,85446,15573,4554.2,42781,19985,55078,50372,15593,68145,3.09E+05,5.18E+05,85275,9.01E+05,5.35E+05,86136,1.17E+05,1.68E+05,1.83E+05,1.98E+05,32676,76434,20389,8830.5,1.17E+05,35902,1.25E+05,43968,38589,2.23E+05,1.07E+05,12310,14522,1.25E+05,67531,26420,13754,3883,14590,89367,58879,99515,5.04E+05,19689,27957,11784,43055,2.22E+05,51068,9378.3,4826.9,+
16820,35125,15504,9280.4,38653,16778,10767,26554,13598,60582,9387.4,4585,9287.6,30220,26745,13451,10087,13317,8994,37186,4624.7,14139,55712,37695,20517,24115,9772,5037.4,6373.5,34080,16180,8755.4,8242.4,1.41E+05,50963,10459,46876,10231,5341.3,12199,12076,45320,19930,13072,13385,19791,12382,6576.8,40845,4304.8,8015.1,6383.1,11123,21620,12030,10533,4994.2,3953.5,6711.7,2.55E+05,13322,17578,15741,2684.4,3229.4,2795.1,2521.1,1969.5,2981.9,4397.1,12137,77640,7483,2151.2,5247.5,2291.5,7949.8,21549,4245.3,5684.2,13807,51929,+
29284,2784.3,4334.3,5279,4062.4,8732.4,11993,4975.6,3110.6,4725.9,4433.8,2077.3,5710.5,2495.1,25721,28187,21711,9920,3544.6,2303.9,2686.9,6143.3,2938.7,41193,37287,29989,1.02E+05,13096,52087,58797,42445,86536,29719,1.15E+05,55878,14750,11135,36832,24120,18983,36633,30259,2799.1,4849.7,4122.8,2893,9500,4202.7,1588.5,2677.6,5560.3,7203.7,8050.8,2455.1,1617.8,1878.8,1858.8,2481.9,1118.9,1566.2,7155.2,3883,7102.4,1942.3,1196.3,2103.6,1267.7,1930.8,1199.8,14541,2363.3,8442.5,9541.2,2660.6,3676.9,1.63E+05,4371.5,6144,31160,4432.5,3223.2,12531,+
1109.6,600.05,1508.4,2013.3,1563.2,449.1,980.74,850.87,2028.2,756.21,860.32,50817,1.10E+05,52854,1.04E+05,2092.3,1081,2393.8,1472.3,1075.5,1346.7,7.70E+05,53672,1.19E+06,1587.2,2850.2,1126.7,3.15E+05,4.01E+05,7048.8,3020.6,1121.4,1332.6,686.19,1118.7,1173.2,966.65,1538.2,1432.4,1508.8,1034,885.54,1563.2,614.5,2232.2,1283.3,1272.8,567.06,1113.1,1741.1,1719.4,3348.2,2087.9,1060.9,905.86,693.11,6251.2,556.79,907.15,1619.5,2549.6,2368.9,1338.3,2501,2096.3,1179.2,554.94,1172.6,912.87,2545.6,4928.9,9286.8,542.45,1155.9,808.92,2162.1,2940.9,1458.4,2279.5,710.57,1634.5,903.45,+
44206,25993,1.08E+05,5.21E+07,46465,5.05E+06,23714,4.31E+06,6.14E+06,75016,4.75E+05,1.16E+05,93173,1.14E+06,6.46E+05,83026,1.36E+05,4.32E+09,1.06E+07,19798,27367,2.82E+05,16803,70990,3.87E+05,1.73E+06,16138,10682,44128,2.58E+06,20706,6679.3,39774,27074,20197,50580,10345,11646,1.05E+05,2.36E+06,50095,51598,8602.6,2.45E+05,8907.9,20877,52152,68759,8545.3,33679,2.13E+05,30087,17265,37402,4.01E+05,34323,4.31E+05,5.21E+05,24787,50279,30949,14679,45258,20051,37078,25071,85508,84351,67764,1.12E+05,36474,56765,44670,3.06E+05,23950,5837.6,29797,15341,2.83E+05,1.47E+07,8245.2,24307,+
49787,90654,17393,17646,20991,46323,3.24E+05,1.40E+05,1.05E+05,9168.7,45205,16152,12273,63403,9724.4,94445,1.40E+05,42591,34310,20191,56542,7176.5,43871,45533,28463,4410.1,19586,35229,32002,3619.3,13839,11216,83673,20541,41841,3.39E+05,63422,34963,18232,33357,10686,9420.8,19467,70560,1.90E+05,98347,49982,25926,17800,65800,37948,27177,60469,29745,52518,1555.8,1.27E+05,1.21E+05,8.47E+06,3.73E+05,1.29E+05,5170.1,43635,3327,39698,47564,32088,5080.8,5965.9,3013.5,23624,19269,5982.3,13401,6456.7,65114,15954,12132,5072.4,4661.2,9583.4,3398.7,+
