hig1E1,hig1E2,hig1E3,hig1E4,hig1E5,hig1E6,hig1E7,hig1E8,hig1E9,hig1E10,hig1E11,hig1E12,hig1E13,hig1E14,hig1E15,hig1E16,hig1E17,hig1E18,hig1E19,hig1E20,hig1E21,hig2E1,hig2E2,hig2E3,hig2E4,hig2E5,hig2E6,hig2E7,hig2E8,hig2E9,hig2E10,hig2E11,hig2E12,hig2E13,hig2E14,hig2E15,hig2E16,hig2E17,hig2E18,hig2E19,hig2E20,hig2E21,hig3E1,hig3E2,hig3E3,hig3E4,hig3E5,hig3E6,hig3E7,hig3E8,hig3E9,hig3E10,hig3E11,hig3E12,hig3E13,hig3E14,hig3E15,hig3E16,hig3E17,hig3E18,hig3E19,hig3E20,hig3E21,hig4E1,hig4E2,hig4E3,hig4E4,hig4E5,hig4E6,hig4E7,hig4E8,hig4E9,hig4E10,hig4E11,hig4E12,hig4E13,hig4E14,hig4E15,hig4E16,hig4E17,hig4E18,hig4E19,hig4E20,hig4E21,hig5E1,hig5E2,hig5E3,hig5E4,hig5E5,hig5E6,hig5E7,hig5E8,hig5E9,hig5E10,hig5E11,hig5E12,hig5E13,hig5E14,hig5E15,hig5E16,hig5E17,hig5E18,hig5E19,hig5E20,hig5E21,hig6E1,hig6E2,hig6E3,hig6E4,hig6E5,hig6E6,hig6E7,hig6E8,hig6E9,hig6E10,hig6E11,hig6E12,hig6E13,hig6E14,hig6E15,hig6E16,hig6E17,hig6E18,hig6E19,hig6E20,hig6E21,hig7E1,hig7E2,hig7E3,hig7E4,hig7E5,hig7E6,hig7E7,hig7E8,hig7E9,hig7E10,hig7E11,hig7E12,hig7E13,hig7E14,hig7E15,hig7E16,hig7E17,hig7E18,hig7E19,hig7E20,hig7E21,hig8E1,hig8E2,hig8E3,hig8E4,hig8E5,hig8E6,hig8E7,hig8E8,hig8E9,hig8E10,hig8E11,hig8E12,hig8E13,hig8E14,hig8E15,hig8E16,hig8E17,hig8E18,hig8E19,hig8E20,hig8E21,hig9E1,hig9E2,hig9E3,hig9E4,hig9E5,hig9E6,hig9E7,hig9E8,hig9E9,hig9E10,hig9E11,hig9E12,hig9E13,hig9E14,hig9E15,hig9E16,hig9E17,hig9E18,hig9E19,hig9E20,hig9E21,hig10E1,hig10E2,hig10E3,hig10E4,hig10E5,hig10E6,hig10E7,hig10E8,hig10E9,hig10E10,hig10E11,hig10E12,hig10E13,hig10E14,hig10E15,hig10E16,hig10E17,hig10E18,hig10E19,hig10E20,hig10E21,Indicator
1.9096,1.938,1.9501,1.9582,1.9882,1.921,1.9783,1.9623,2.0099,2.0043,1.9809,1.9927,1.9906,1.9782,1.9909,1.9923,1.9685,1.9812,1.9497,1.9599,1.9554,1.9017,1.9202,1.9435,1.9562,1.9952,1.9196,1.9762,1.9654,2.0138,1.9958,1.9768,2.0047,1.9882,1.9688,1.9742,1.9906,1.9697,1.984,1.9482,1.9622,1.9582,1.9218,1.9178,1.9483,1.964,1.9848,1.9305,1.9681,1.9663,2.0061,1.9978,1.9808,1.9868,1.9888,1.9573,1.9938,1.983,1.9599,1.9805,1.9432,1.952,1.9578,1.888,1.9113,1.9195,1.9436,1.9741,1.9049,1.945,1.9235,2.0026,1.9993,1.9595,1.9547,1.968,1.9496,1.962,1.957,1.948,1.9634,1.9312,1.9436,1.9372,1.9063,1.9111,1.9235,1.9563,1.9794,1.9283,1.9794,1.9498,2.0143,1.99,1.9868,1.9823,1.9962,1.9544,1.9895,1.9757,1.9748,1.9859,1.9471,1.9532,1.9612,1.9371,1.9498,1.9695,1.9883,2.0056,1.9626,1.9793,1.9791,2.0156,2.0229,1.9873,1.9737,1.9894,1.9471,1.9767,1.9666,1.9404,1.9702,1.9412,1.9533,1.9634,1.9744,1.9703,1.9714,1.99,1.9952,1.9819,1.966,1.9776,2.0063,2.0203,1.9971,1.9912,1.9791,1.9725,1.9816,1.9895,1.9663,1.973,1.9609,1.9783,1.9707,1.9788,1.9667,1.9882,1.9864,2.0064,1.989,1.9875,1.983,2.0176,2.0046,1.9852,1.9905,1.9954,1.969,2.0016,1.9862,1.9789,1.9924,1.9643,1.9711,1.975,1.9845,1.968,1.9587,2.0022,1.993,1.974,1.9677,1.9631,2.0164,2.0211,1.9897,2.0078,1.9902,1.9731,1.9986,1.9958,1.9701,1.9897,1.9563,1.9709,1.9672,1.99,1.977,1.9849,1.9968,2.0063,1.9823,1.9875,1.9835,2.0114,2.0162,1.9949,1.9963,1.9988,1.9718,1.9989,2.0054,1.9999,2.0042,1.9802,1.9872,2.0018,-
2.0067,2.0025,1.9902,1.9992,2.0181,1.9991,1.9856,2.0146,2.024,2.0176,1.9942,1.9848,2.0082,1.955,1.9716,1.9542,1.9413,1.9571,1.9608,1.9999,1.9199,1.9909,1.9927,1.9797,2.0117,1.9683,2.01,1.9693,1.9964,1.9906,1.9679,1.9831,1.9774,1.987,1.9365,1.9553,1.9489,1.9425,1.9529,1.9744,1.9952,1.9149,1.9896,1.9834,1.9741,2.0072,2.0024,2.0056,1.9793,2.0004,2.0003,2.0103,1.9811,1.9802,2.0236,1.9538,1.9931,1.9672,1.9337,1.9681,1.9724,1.9568,1.9076,2.0064,1.9976,1.9985,2.0158,2.0097,2.0042,1.9791,2.0123,2.0157,2.0019,1.9905,1.9785,2.0025,1.9282,1.9671,1.9527,1.9254,1.9349,1.9534,1.9525,1.8913,2.0132,2.0143,1.9979,2.0049,2.0223,2.0115,1.9776,2.0114,1.9978,1.999,1.9952,1.9961,2.0091,1.9875,1.9831,1.9827,1.9546,1.9427,1.9898,1.9907,1.9342,2.0105,2.0085,1.9976,2.0108,2.0108,2.0164,1.9824,1.9915,2.0222,2.0012,2.0009,1.9796,2.0177,1.9961,1.9895,1.9834,1.9686,1.9735,2.0053,2.001,1.9583,2.0313,2.0175,2.0053,2.0156,2.0425,2.016,1.9962,2.0187,2.0289,2.0181,2.0056,2.0004,2.0259,1.9937,1.9884,1.9962,1.9767,1.9744,1.9924,2.0065,1.9638,2.0069,2.0054,2.0034,1.9936,2.0134,2.0103,1.9861,2.0109,2.0143,2.0058,1.9914,1.9909,2.0123,1.9744,1.9905,1.9833,1.9784,1.9678,1.9664,1.9718,1.9555,1.993,1.9781,1.972,1.9993,1.9961,1.9895,1.9372,1.9984,1.9971,1.9713,1.9567,1.9671,1.9975,1.9606,1.978,1.9489,1.9417,1.9435,1.9674,1.9663,1.9302,2.0126,2.0079,2,2.0029,2.0109,2.0106,1.9924,2.0081,2.0043,2.0147,2.0035,1.9981,2.015,2.0076,2.0074,1.9939,1.984,1.9826,1.9966,2.0036,1.9874,-
1.9797,1.9912,1.9828,1.9729,1.9842,1.9899,1.9987,1.9966,1.9927,2.0171,2.0015,1.9998,2.0077,1.9835,1.993,1.993,2.0034,2.0046,1.9956,1.9833,1.9815,1.989,1.9916,1.9992,1.9955,2.0033,2.0125,2.0211,2.0145,1.9942,2.0186,2.0185,2.026,2.0145,2.0077,2.0026,2.0166,2.0185,2.0174,2.0169,2.0137,1.9961,2.0009,2.008,2.0033,2.0108,1.9993,2.0098,2.0045,2.0114,2.0145,2.0134,2.0085,2.0088,2.0055,1.9825,1.9792,2.0074,2.0031,1.992,1.9859,1.9801,1.9548,2.007,1.997,1.9962,2.0158,2.0147,2.0069,1.9957,2.0115,2.0112,2.0022,2.0091,1.9888,1.9993,1.9761,1.9727,1.9966,1.9892,1.9851,1.9738,1.9502,1.9398,1.9965,2.0066,1.9911,1.986,2.0109,1.9982,1.9978,1.9966,2.0012,1.9918,2.0052,2.0046,2.0047,1.979,1.9924,1.9962,1.9929,1.9939,1.9892,1.9684,1.9583,1.9941,1.9911,2.0016,2.011,2.0322,1.9882,1.9944,1.9971,2.0123,2.0177,1.9963,1.989,1.9998,1.9887,1.9748,1.9937,2.0023,1.9907,1.9772,1.9782,1.957,1.9857,1.9924,2.0003,1.9937,2.0079,1.9768,1.9813,2.0004,1.9944,2.0284,1.9799,1.9761,1.9938,1.9562,1.9866,1.9853,1.9947,1.9939,1.9747,1.9682,1.9579,2.0066,2.0096,1.9975,2.0056,1.9814,2.0131,2.0056,2.0133,2.0053,2.0117,2.0016,2.0008,2.0186,1.988,1.9885,1.9933,2.0104,2.0175,1.9777,1.9776,1.9692,2.008,2.0089,1.991,2.0082,2.004,2.0063,1.9918,1.9926,2.0083,1.9834,2.0092,2.0048,1.9954,1.9945,1.974,2.0049,1.9887,1.9851,1.9991,1.9927,1.9646,2.0008,1.9931,1.9841,2.0145,1.9962,2.0003,1.9945,2.0015,2.0107,2.0078,1.9947,1.9904,1.9836,1.9905,1.9732,1.9891,1.9899,1.9874,1.9808,1.9668,1.9613,+
2.0254,2.0394,2.0266,2.0246,2.0315,2.0287,2.0277,2.0402,2.0081,1.9837,2.0003,2.0068,2.0034,1.9966,2.01,1.9949,1.9701,1.9887,1.9968,2.0012,1.9893,2.0288,2.0336,2.0213,2.0375,2.0231,2.0366,2.0226,2.0336,2.0241,1.9807,1.992,2.0036,1.9914,1.9941,1.9824,1.9763,1.9552,1.9711,1.9807,1.9762,1.9653,2.0241,2.0287,2.0222,2.0173,2.027,2.0364,2.0227,2.0347,2.0115,1.9778,2.0058,2.0046,1.994,2.0039,1.9882,1.9893,1.9701,1.977,2.0052,1.9915,1.9779,2.0265,2.032,2.0353,2.0316,2.0324,2.0399,2.0243,2.0381,2.034,1.9677,2.019,2.0194,1.9916,2.0184,1.9879,2.0044,1.9765,1.9826,2.0288,2.0067,1.9824,2.0253,2.0314,2.0118,2.0257,2.0313,2.0387,2.0278,2.0363,2.0237,1.956,1.9909,1.9816,1.9832,1.9848,1.9839,1.9619,1.9575,1.9665,2.0023,1.9777,1.9708,2.0184,2.0268,2.0181,2.0234,2.0322,2.0361,2.0249,2.0417,2.0197,1.9452,2.0178,2.0131,1.9928,2.0149,1.9919,2,1.9696,1.9774,2.0161,1.9982,1.9861,2.0126,2.0171,2.0129,2.0195,2.0175,2.034,2.025,2.0309,2.0213,1.9554,2.0058,2.0036,1.9883,1.9941,1.9816,1.9718,1.9474,1.9678,2.0037,1.9878,1.9819,2.0123,2.0222,2.0035,2.0221,2.023,2.0315,2.0294,2.0223,2.0023,1.9561,1.9889,1.9958,1.9879,1.9891,1.9798,1.9741,1.9683,1.9784,2.0038,1.983,1.9817,2.0293,2.0434,2.0215,2.0405,2.021,2.0436,2.007,2.0288,2.0158,1.9494,1.9825,1.9924,1.9709,1.9801,1.9615,1.9637,1.951,1.957,2.0031,1.9836,1.9704,2.0044,2.0095,2.0015,2.0063,2.015,2.0333,2.0188,2.0215,2.0103,1.9406,1.9891,1.9956,1.9752,1.9903,1.9575,1.9703,1.9632,1.9711,1.9713,1.9633,1.9776,+
2.0117,2.0172,2.0096,2.0139,2.01,2.0081,2.0013,2.0066,2.0343,2.006,2.0214,2.0189,2.0203,2.0182,1.9915,2.0211,2.0292,2.0243,2.0218,2.0217,2.0058,2.0096,2.0202,2.0151,1.9908,2.0212,2.0283,2.0192,2.029,2.0234,2.0227,2.0385,2.0274,2.0287,2.0294,2.0079,2.0342,2.029,2.0254,2.0244,2.0239,2.0171,2.0113,2.0225,2.018,2.0035,2.0085,2.0245,2.0212,2.0261,2.0294,2.0191,2.0368,2.0317,2.0257,2.0357,2.027,2.0305,2.0238,2.0221,2.0345,2.0347,2.0318,2.0303,2.0288,2.0117,2.0267,2.0174,2.0337,2.0254,2.019,2.0319,2.029,2.0375,2.0365,2.0307,2.0404,2.0254,2.0437,2.0363,2.0341,2.0445,2.0447,2.03,2.0125,2.0082,2.0057,1.9985,2.0168,2.0189,2.0088,2.0178,2.0203,2.0194,2.0259,2.0205,2.0239,2.0077,1.9853,2.0154,2.0229,2.0216,2.0151,2.0145,1.9968,2.0004,2.0037,1.9847,1.9894,1.9997,2.0191,2.0037,2.0113,2.0277,2.0351,2.0219,2.0217,2.0114,2.0408,2.0037,2.0198,2.014,2.0062,2.0222,2.022,2.0232,2.0237,2.0278,2.022,2.0259,2.0209,2.0293,2.0324,2.0349,2.0332,2.0324,2.0345,2.0315,2.0383,2.0462,2.0286,2.03,2.0253,2.028,2.0338,2.0331,2.0278,1.9809,1.9893,1.9846,1.9738,1.9881,2.0141,2.0116,2.0164,2.0199,1.9987,2.0113,2.0113,2.0185,2.0239,2.0172,2.0172,2.0126,2.0146,2.0298,2.0302,2.0274,1.9745,1.9784,1.9793,1.9815,1.9758,2.0027,2.0187,1.9955,2.0108,1.9961,2.0164,2.0204,2.0289,2.0292,2.0214,2.0238,2.0213,2.0314,2.016,2.018,2.0156,1.9583,1.9608,1.9733,1.949,1.9714,1.9676,1.9739,1.9689,1.9804,1.9839,1.9863,1.9891,1.9771,2.0044,1.966,1.9909,1.9933,1.9809,1.9915,1.9923,1.9674,+
2.0294,2.036,2.0236,2.0331,2.0257,2.0361,2.0195,2.0264,2.0357,1.9942,2.0382,2.0357,2.027,2.0242,2.0085,2.0257,2.0275,2.0326,2.0156,2.0183,2.0339,2.0259,2.031,2.0255,2.0291,2.0252,2.0267,2.0204,2.0246,2.0356,1.9867,2.0185,2.0085,2.0116,2.0102,2.0113,2.0111,2.0192,2.0194,2.0063,2.0058,2.0221,2.0257,2.0311,2.0279,2.0303,2.0247,2.0379,2.0299,2.0217,2.0304,1.9941,2.0264,2.0315,2.0292,2.0112,2.0346,2.0075,2.0087,2.0235,1.9917,2.0065,2.016,2.052,2.0592,2.0511,2.0548,2.0497,2.0593,2.0535,2.0504,2.0393,2.0211,2.0479,2.0433,2.0449,2.0212,2.0182,2.0074,2.0335,2.0313,2.0018,2.014,2.0188,1.985,2.0055,2.0029,1.9956,2.0135,2.0082,2.0151,2.0082,2.0203,2.0035,2.0049,2.0181,2.014,2.0002,2.0201,2.0061,2.0089,2.0019,1.9926,1.9992,2.0087,2.0274,2.0285,2.0242,2.0247,2.0327,2.0286,2.0381,2.034,2.0308,2.0063,2.0439,2.0341,2.0244,2.0263,2.0314,2.0264,2.0258,2.0327,2.0179,2.0168,2.0229,1.9973,2.0069,2.0105,2.0047,2.0209,2.0159,2.0255,2.023,2.0283,2.0048,2.0143,2.0068,2.0076,1.9931,2.008,2.0001,2.0021,2.0096,1.9871,2.0079,2.0083,2.0045,2.0111,2.0055,2.0173,2.0078,2.0127,2.0173,2.0096,2.0235,2.0046,2.0046,2.0147,1.9797,1.9967,1.992,1.9972,2.0004,1.9993,1.9884,1.9981,2.0044,2.0027,2.0203,2.0248,2.0158,2.0284,2.022,2.0234,2.0323,2.0078,1.9979,2.0046,2.0201,1.975,2.0014,1.9905,1.9937,2.0196,2.0135,1.9859,2.0007,2.0196,1.9803,1.9925,1.9947,2.0057,2.0087,2.0102,2.0161,2.0126,2.0285,1.9882,2.011,2.0187,1.9691,2.0102,1.9972,2.0041,1.9998,2.0001,2.0013,1.994,2.0037,+
2.0186,2.023,2.006,2.0323,2.0032,2.0363,1.9902,1.9996,2.0145,2.0095,1.9917,2.0292,2.0029,2.028,1.9918,2.0127,1.9747,1.9877,1.9849,1.9861,1.9873,2.0166,2.0144,2.0202,2.0156,2.0064,2.0145,2.0052,2.0118,2.0095,2.0028,2.0063,2.0008,2.0084,2.0142,2.01,2.0097,1.9901,2.0081,1.9694,1.9702,1.9833,2.0126,2.0148,1.9893,2.0176,2.014,2.0307,2.0008,2.0009,2.0301,1.9996,2.0131,2.0247,2.0094,2.03,2.0212,2.0161,1.9844,2.0044,1.9758,1.9792,1.9849,2.0308,2.0125,2.0171,2.0372,1.9925,2.0293,2.0159,2.0128,2.0306,2.0077,2.0226,2.0169,2.0224,2.022,2.0187,2.001,1.9753,2.0084,1.9515,1.9514,1.9775,2.0146,1.9941,2.001,2.0116,1.9961,2.0026,1.9821,2.0033,2.026,2.0135,2.0183,1.9968,2.0015,2.0236,2.023,2.0031,1.9802,2.0074,1.9634,1.9607,1.9866,2.0103,2.0077,2.0028,2.0037,1.9962,2.0126,1.9808,2.005,2.0216,2.0157,2.0146,2.0017,2.0034,2.0161,2.0252,1.9977,1.9779,2.0171,1.9483,1.9503,1.9725,2.0259,2.0141,2.0031,2.0277,2.0121,2.0298,1.999,1.9935,2.0311,2.0085,2.0286,2.0048,2.0035,2.0318,2.013,2.0154,1.9826,2.0027,1.9647,1.966,1.9688,2.0284,1.9895,2.0286,2.0244,2.0183,2.0319,2.0048,2.0162,1.9992,2.0098,2.0172,2.0023,2.026,2.0176,2.0122,1.9961,1.9765,2.0076,1.9577,1.9597,1.9814,2.0144,2.0206,2.0233,2.0106,2.0027,2.017,2.0063,2.013,2.0212,2.0171,2.0232,1.9969,2.0236,2.0091,2.0344,2.0069,1.9841,2.0135,1.9676,1.9704,1.9985,2.0182,2.0182,1.9998,2.0124,2.0016,2.0114,1.9904,2.0018,2.0243,1.9935,2.0233,1.993,2.0052,2.014,2.0123,2.0073,1.9814,1.998,1.9782,1.9823,1.9771,+
2.0308,2.029,2.0336,2.0222,2.0268,2.0171,2.0328,2.0254,2.0037,2.0141,2.0238,2.0179,2.0079,2.0104,2.0107,2.0004,1.9946,1.9996,2.006,1.9954,2.0098,2.0195,2.0133,2.0183,2.0243,2.0224,2.0296,2.0177,2.0247,1.9889,2.0187,2.0288,2.0217,2.0112,2.0086,2.001,2.009,1.9782,1.9896,2.0112,1.9921,1.9935,2.0026,2.0046,1.9923,2.0182,1.9951,2.0188,2.0088,2.0044,1.9932,1.9937,2.0286,2.0263,1.9937,2.0135,2.0019,2.009,1.9657,1.9734,2.0161,1.989,1.9967,2.0214,2.0171,2.0254,2.0187,2.0295,2.0282,2.0324,2.0309,2,2.0258,2.0256,2.0298,2.0154,2.0176,2.0217,2.013,1.9913,1.9908,1.9981,2.0129,2.0051,1.9944,1.9964,1.9776,2.0027,1.9863,2.0104,2.0027,1.9823,2.0267,1.993,2.0182,2.0132,2.0006,2.0216,2.0173,2.0127,1.9895,1.9914,2.0254,1.999,2.0036,1.9946,2.0004,2.0168,2.012,2.0108,2.0073,2.0077,2.0131,2.0018,2.0002,2.0251,2.0134,1.9919,2.0162,2.012,2.0167,1.9733,1.9643,2.0247,2.0023,1.9869,2.0054,2.0136,2.0151,2.0186,2.0158,2.0045,2.0152,2.0145,1.9925,2.012,2.0214,2.0123,2.0127,2.0202,2.004,2.0068,1.9617,1.9676,2.0198,1.9924,1.9871,2.0193,2.0168,2.0102,2.0215,2.0109,2.0054,2.0127,2.0093,1.976,2.0141,2.0282,2.0305,2.0137,2.0346,2.0064,2.04,2.0097,2.0156,2.0311,2.0274,2.015,2.0153,2.0215,2.0137,2.0052,2.0202,2.0029,2.0221,2.0138,1.9642,2.0136,2.0156,1.9973,2.0165,2.0139,2.0122,2.0209,2.0292,2.0207,2.0186,2.0215,2.0115,2.0157,2.0067,2.0386,2.0155,2.0245,2.0141,2.0376,2.0291,1.9604,2.0131,1.9959,2.0059,2.0277,2,2.0223,2.0085,2.028,2.0326,2.0001,2.004,2.0355,+
2.0052,2.0188,2.0076,1.9547,2.0098,2.0056,2.0171,2.0284,2.0188,1.9928,2.0096,2.0098,2.0194,2.0032,2.0286,2.0029,2.0084,2.0143,2.0003,2.0006,2.0154,1.9779,1.9981,1.9815,1.9527,1.9911,2.0048,2.0155,2.0004,2.0175,1.9693,2.0205,2.0179,2.0139,2.0166,2.003,2.0133,2.0134,2.0142,2.0034,1.9948,1.9991,1.9499,2.0142,1.9863,1.9559,2.0053,1.9916,1.9967,2.0093,2.0051,1.9872,2.0084,1.9914,2.0169,2.0196,2.013,2.0124,2.0176,2.02,1.998,1.967,1.9872,1.9795,1.9988,1.9948,2.0037,2.0003,2.014,2.0065,2.0078,2.0273,1.9919,2.0202,1.9963,2.0152,2.0237,2.0073,2.021,2.0023,2.0117,2.0092,2.0134,2.0001,2.0212,2.0335,2.0076,2.014,2.0134,1.9955,1.9991,2.0114,2.0356,2.0209,2.0205,2.0034,2.0104,2.0148,2.0019,2.0077,2.0114,2.0029,1.9915,2.0033,1.9974,2.0129,2.0217,2.0031,2.0253,2.013,2.0096,2.0014,2.0147,2.0379,2.0236,2.0115,2.0031,2.0141,2.0143,2.0124,1.9995,2.0107,2.0066,1.992,1.9983,1.9991,2.028,2.0361,2.0208,2.026,2.0334,1.9963,1.99,2.0104,2.0372,1.9848,1.9996,1.9824,1.998,2.0068,2,1.9863,2.0007,1.9915,1.9798,1.9874,1.9871,2.0315,2.0312,2.0197,2.027,2.0289,2.0149,2.0008,2.01,2.031,2.0044,2.017,2.0002,1.9989,1.9999,1.9783,1.9869,1.9961,1.9893,1.9688,1.9753,1.979,1.9892,2.0182,2.0113,1.9789,2.0043,1.9939,2.0005,2.013,2.0089,2.0016,2.0045,1.9887,2.0104,2.0181,2.0064,2.0094,2.0181,2.0096,1.9937,1.9967,2.0014,2.0288,2.0368,2.0192,2.0253,2.0384,2.0071,2.0056,2.022,2.0455,2.0427,2.0077,1.994,2.0184,2.0131,1.9923,1.9921,1.9937,1.9896,1.9827,1.983,1.9797,+
2.0043,1.9824,1.9891,2.0053,1.9949,2.0111,2.0248,1.999,1.9777,1.9981,2.0196,2.0123,2.0008,1.9875,2.006,2.0044,2.0173,2.0022,1.9961,1.9899,2.0001,1.9617,1.9686,2.0035,1.9694,1.9966,1.9831,2.0396,2.0172,1.9541,1.9893,1.9833,1.992,2.0236,1.9611,2.0173,1.953,2.0181,2.022,1.9582,1.9587,2.0118,2.0108,2.0211,2.0293,1.9969,2.0191,2.0094,2.0276,2.0252,1.9963,1.9878,2.0011,2.0065,2.0104,1.9911,2.0072,1.9883,2.0164,2.0047,1.9814,1.9893,1.9968,1.9841,1.9864,1.9982,1.9728,1.9773,1.992,2.02,1.9875,1.9642,1.981,2.0008,2.0052,1.9758,1.9493,1.9875,1.9952,1.9754,1.9895,1.9837,1.9844,1.9937,2.0074,2.0023,2.0234,2.0158,1.9963,2.0094,2.0261,2.0245,2.0088,2.0102,2.0173,2.0264,2.0273,2.0226,2.0161,2.0267,2.043,2.0129,2.0244,2.0243,2.0324,1.9927,1.9939,2.0027,1.9921,2.0055,1.9871,2.0313,2.0167,1.9922,1.9909,2.0164,2.016,2.0256,1.9951,2.019,1.9973,2.0167,2.0164,1.9881,1.9841,2.0146,1.9832,1.981,1.9874,1.9997,1.9838,1.9995,2.006,2.0055,1.9777,1.9937,2.0176,2.012,2.0164,2.0087,2.0301,2.0255,2.025,2.0251,2.0233,2.0211,2.0249,1.9947,1.9972,1.9736,1.9901,1.9765,1.9862,1.9902,1.9803,1.9707,2.0074,2.009,2.0078,2.0084,1.9948,2.0078,2.002,2.012,2.0182,2.0066,2.0118,2.0216,2.0055,1.9991,1.9994,2.0006,1.9996,1.9961,1.9935,1.9898,1.9916,1.9928,2,2.0052,2.0098,2.002,2.0148,2.0014,2.0218,2.0225,2.0095,2.01,2.0275,1.9722,2.0048,1.9958,1.9897,1.9822,2.0165,2.0236,2.01,1.9864,1.987,2.0146,2.0222,2.0189,2.0049,2.0205,2.0087,2.0247,2.0223,2.0032,2.0055,2.0196,+
1.9922,1.9892,2.0168,2.002,2.0228,2.0091,2.0081,2.0334,1.9989,2.0088,1.9755,2.0165,2.0282,2.0123,2.016,1.9999,2.0171,2.0245,2.0074,2.0006,2.0214,2.0125,2.0284,2.0252,2.0271,2.0167,2.0317,2.0361,2.0278,2.0165,2.024,1.9966,2.0108,2.0296,2.0283,2.0341,2.0235,2.0235,2.0403,2.0092,2.0348,2.0332,1.9796,1.9758,1.9846,1.9948,2.0073,1.9904,2.0205,2.0213,2.0045,2.0157,1.9977,2.0282,2.0357,2.0244,2.0293,2.0201,2.0316,2.018,1.9948,1.9926,2.03,2.004,2.0019,2.0036,2.0118,2.0036,2.0092,2.0182,2.013,2.0036,2.0361,1.999,2.0259,2.0267,2.0215,2.0396,2.0165,2.0205,2.0549,2.0255,2.0176,2.0421,1.9798,1.9772,2,1.989,1.9996,1.9934,2.0283,2.016,2.0137,2.0093,1.9833,2.0172,2.0251,2.0256,2.0441,2.0234,2.027,2.0447,2.0127,2.0198,2.0277,2.0113,2.0103,2.0253,2.0075,2.0261,2.0095,2.0256,2.0271,2.0215,1.9969,1.9207,2.0152,2.0246,2.0151,2.018,1.996,2.0162,2.0156,2.0033,2.0049,2.0214,1.9837,1.9956,2.0003,1.9992,2.0154,2.0018,2.0291,2.0242,2.0025,2.0325,2.0088,2.0086,2.0318,2.0162,2.0268,2.0218,2.0173,2.0442,2.0089,2.0178,2.0363,1.9889,2.0024,1.9785,2.008,1.987,2.0067,1.9941,1.986,2.0424,1.9985,2.0028,2.0081,1.9981,2.0126,2.0085,2.012,2.0191,2.0312,2.0126,2.0159,2.0294,1.9927,2.0005,2.0026,1.9943,2.0205,2.0193,2.0196,2.0097,2.0087,2.0037,2.0227,2.0306,2.0313,2.0226,2.0377,2.0334,2.0356,2.0396,2.0209,2.0283,2.0343,2.0132,2.0204,2.0086,2.0272,2.0234,2.0229,2.0168,2.0088,2.0287,2.0213,1.9941,2.0217,2.0191,2.0293,2.0314,2.027,2.0374,2.0454,2.0278,2.0217,2.0457,+
2.017,2.0154,1.9977,2.0221,2.0023,2.0122,1.9882,1.9881,2.0229,2.0055,2.0005,2.0219,1.9787,1.9752,1.9672,1.9718,1.9287,1.9725,1.9263,1.9256,1.9008,2.0244,2.0263,1.9936,2.0261,1.9906,2.0157,1.9922,1.9905,2.0283,2.0033,2.0207,2.0311,2.0087,1.9847,1.9541,1.9919,1.9677,1.9846,1.9576,1.9578,1.9118,2.0145,2.014,2.0079,2.0135,1.988,2.0162,2.0069,2.0061,2.011,2.002,2.008,2.0096,1.9897,1.9864,1.9613,1.9857,1.9797,1.9815,1.9503,1.9468,1.9159,2.038,2.0407,2.0146,2.0386,2.0081,2.0247,1.9985,2.0076,2.023,2.0135,2.0138,2.0131,1.999,1.9831,1.971,1.9916,1.9748,1.9915,1.9406,1.9425,1.9175,2.0254,2.0313,2.0057,2.021,1.9917,2.0259,2.007,2.0014,2.0198,1.9967,2.0173,2.0342,2.0026,1.9992,1.9786,1.9961,1.973,1.9887,1.9649,1.9569,1.9101,2.0225,2.0284,2.0142,2.0154,2.0065,2.0181,2.008,2.0059,2.0112,2.0074,2.0237,2.0331,2.005,2.0051,1.9876,2.0044,1.9975,2.0024,1.9624,1.9617,1.946,2.012,2.0091,2.009,2.0116,1.9913,2.0128,2.0123,2.0016,2.0172,2.0081,2.0247,2.0246,1.9953,2.0005,1.9803,2.0046,1.9792,2.0008,1.9513,1.9496,1.9203,2.0164,2.018,2.0071,2.0144,1.9988,2.0168,2.0062,1.9975,2.0245,2.0055,2.0178,2.019,1.9852,1.9944,1.967,1.9945,1.9754,1.9821,1.9469,1.9413,1.9093,2.0044,2.0074,2.0087,2.0102,1.9993,2.0126,1.9994,2.0052,2.0184,2.0123,2.0133,2.0193,1.9991,1.9642,1.989,1.9819,1.9685,1.9762,1.9369,1.934,1.9263,2.0242,2.0242,2.0005,2.0091,1.9844,2.0061,1.9922,2.0003,2.0109,1.9982,2.0063,2.022,1.9956,1.9831,1.9722,1.9797,1.9596,1.9725,1.9412,1.9335,1.8957,+
