hig1E1,hig1E2,hig1E3,hig1E4,hig1E5,hig1E6,hig1E7,hig1E8,hig1E9,hig1E10,hig1E11,hig1E12,hig1E13,hig1E14,hig1E15,hig1E16,hig1E17,hig1E18,hig1E19,hig1E20,hig1E21,hig2E1,hig2E2,hig2E3,hig2E4,hig2E5,hig2E6,hig2E7,hig2E8,hig2E9,hig2E10,hig2E11,hig2E12,hig2E13,hig2E14,hig2E15,hig2E16,hig2E17,hig2E18,hig2E19,hig2E20,hig2E21,hig3E1,hig3E2,hig3E3,hig3E4,hig3E5,hig3E6,hig3E7,hig3E8,hig3E9,hig3E10,hig3E11,hig3E12,hig3E13,hig3E14,hig3E15,hig3E16,hig3E17,hig3E18,hig3E19,hig3E20,hig3E21,hig4E1,hig4E2,hig4E3,hig4E4,hig4E5,hig4E6,hig4E7,hig4E8,hig4E9,hig4E10,hig4E11,hig4E12,hig4E13,hig4E14,hig4E15,hig4E16,hig4E17,hig4E18,hig4E19,hig4E20,hig4E21,hig5E1,hig5E2,hig5E3,hig5E4,hig5E5,hig5E6,hig5E7,hig5E8,hig5E9,hig5E10,hig5E11,hig5E12,hig5E13,hig5E14,hig5E15,hig5E16,hig5E17,hig5E18,hig5E19,hig5E20,hig5E21,hig6E1,hig6E2,hig6E3,hig6E4,hig6E5,hig6E6,hig6E7,hig6E8,hig6E9,hig6E10,hig6E11,hig6E12,hig6E13,hig6E14,hig6E15,hig6E16,hig6E17,hig6E18,hig6E19,hig6E20,hig6E21,hig7E1,hig7E2,hig7E3,hig7E4,hig7E5,hig7E6,hig7E7,hig7E8,hig7E9,hig7E10,hig7E11,hig7E12,hig7E13,hig7E14,hig7E15,hig7E16,hig7E17,hig7E18,hig7E19,hig7E20,hig7E21,hig8E1,hig8E2,hig8E3,hig8E4,hig8E5,hig8E6,hig8E7,hig8E8,hig8E9,hig8E10,hig8E11,hig8E12,hig8E13,hig8E14,hig8E15,hig8E16,hig8E17,hig8E18,hig8E19,hig8E20,hig8E21,hig9E1,hig9E2,hig9E3,hig9E4,hig9E5,hig9E6,hig9E7,hig9E8,hig9E9,hig9E10,hig9E11,hig9E12,hig9E13,hig9E14,hig9E15,hig9E16,hig9E17,hig9E18,hig9E19,hig9E20,hig9E21,hig10E1,hig10E2,hig10E3,hig10E4,hig10E5,hig10E6,hig10E7,hig10E8,hig10E9,hig10E10,hig10E11,hig10E12,hig10E13,hig10E14,hig10E15,hig10E16,hig10E17,hig10E18,hig10E19,hig10E20,hig10E21,Indicator
2.0033,1.9876,2.0095,1.9949,2.0002,2.0104,2.0021,1.9931,2.0074,1.9869,1.999,2.0137,1.9849,2.0106,1.9863,2.0053,1.9898,2.0127,2.0001,2.0008,1.9993,2.0108,1.9893,1.9853,1.9847,1.9919,1.9943,2,2.0003,2.0206,1.9894,1.9956,2.0098,1.9904,2.0061,2.0064,2.0081,1.9952,1.9968,1.9979,2.0171,1.998,1.9738,1.9664,1.9913,2.0046,2.0049,2.0043,1.9823,1.9916,2.0094,1.9987,1.9869,2.0016,2.0091,2.015,1.985,1.9992,2.0062,2.0105,2.0074,2.0026,2.003,2.0047,2.004,2.0088,2.0207,2.0046,2.0051,2.0178,2.0084,2.0154,2.005,2.0049,2.0153,1.9994,2.0191,2.015,2.0063,2.0183,2.0281,2.0049,2.0107,2.0005,2.0092,2.0063,2.0136,2.0044,2.0215,1.9915,1.9888,1.9951,2.0154,2.0062,2.0006,2.0144,2.0067,1.9999,1.9919,2.0007,2.0003,2.0126,2.0086,2.014,2,1.9965,2.0234,2.0132,2.0116,2.0104,1.9999,2.0149,2.0075,2.0017,2.0023,2.0097,2.0085,2.0106,2.0119,2.0015,2.0123,2.012,2.013,2.0099,2.0126,2.0166,1.9958,2.0014,1.9996,2.0074,2.0155,2.0173,2.0102,2.0096,2.0071,2.005,2.0083,2.0183,2.0008,2.0241,2.0032,2.0058,2.0094,2.0173,1.9803,2.0141,1.9785,1.9934,2.0176,2.0122,2.0097,2.0154,2.0041,2.0223,2.0148,2.0042,1.9982,2.0228,2.0314,2.0268,2.0314,2.0104,2.0204,2.0258,2.0323,2.0017,2.0191,2.0199,2.0237,2.0319,2.0047,2.014,2.0065,2.0119,1.9998,2.0132,1.9943,2.0115,1.9984,2.012,2.0108,2.0215,2.0074,2.0086,2.0123,2.0181,2.0001,1.991,2.0212,2.0072,2.0052,2.0078,2.0191,2.0069,2.0258,2.0081,1.9866,2.0034,2.0077,2.0211,2.0319,2.0253,2.0126,2.0148,2.0426,2.0194,2.0219,2.0236,2.0229,2.0386,-
2.0029,2.0081,2.0131,1.9979,2.005,2.0072,1.998,2.0049,2.0015,1.9912,1.9821,2.0146,1.9911,1.9954,1.9892,2.0099,2.0008,1.9934,2.014,2.0096,2.0074,2.0168,2.0122,1.9981,2.0118,1.9952,2.0062,2.0103,2.0044,2.0132,2.0146,1.9939,2.0134,1.9873,1.9964,1.9931,2.0173,2.0079,1.9956,2.0293,2.0224,1.9979,1.9999,2.0124,2.0106,1.9996,1.9935,2.0102,2.0125,2.0144,2.0027,1.9976,1.9967,2.0142,2.0037,1.9997,1.9944,2.0065,2.0132,1.9996,2.0079,2.0054,2.0216,2.007,2.0097,2.0063,2.0057,2.0152,1.9891,2.0226,1.997,1.9994,2.0011,1.9861,1.9972,1.9867,2.0012,1.9771,1.9994,1.9956,1.9867,1.9957,2.0127,2.0076,2.0158,2.0147,1.992,2.002,2.0129,1.9936,2.0143,2.0116,2.003,2.0055,1.9768,2.0072,1.996,2,1.9781,1.9973,2.014,1.9854,2.0094,2.0015,1.9977,1.9881,2.0012,2.0055,1.9913,2.0084,1.9903,2.0047,2.0024,1.9967,1.9903,1.9791,1.9995,2.0044,1.9905,1.9818,2.0093,1.9996,1.992,2.0185,2.0035,2.0125,2.0096,2.0089,1.9943,1.9791,1.96,1.9936,2.0061,1.9788,1.9596,1.9484,1.9746,1.995,1.9586,2.0065,1.9775,2.0049,2.01,1.9983,2.0092,2.0086,2.0003,2.0006,1.9979,2.0036,1.9662,1.9867,1.9818,2.0055,1.9909,1.9488,1.9721,1.9659,2.0021,1.981,1.9916,1.9777,2.0014,2.0058,1.9974,2.0051,2.0088,2.0071,2.0079,2.0115,2.0052,2.0131,1.9981,2.0053,1.999,2.0052,2.0183,2.0095,1.9869,2.0065,2.0059,2.0186,1.9909,2.0033,2.0054,2.0033,2.0023,2.0008,2.0097,2.0001,2.008,2.0005,2.0089,2.0045,2.0011,1.9978,2.0119,1.9951,2.0106,1.9804,2.0051,2.0048,2.0004,1.9888,1.9951,2.0109,1.9968,2.0096,2.0076,2.0172,-
1.9618,1.9484,1.9438,1.994,1.9977,1.9582,1.9506,1.9765,1.9792,1.9913,1.9418,1.9319,1.9233,1.8877,1.9041,1.9037,1.8817,1.9012,1.8769,1.888,1.8735,1.9812,1.979,1.9413,2.0071,1.9862,1.9759,1.9508,1.9527,2.0123,1.9756,1.9662,1.9599,1.9355,1.925,1.9119,1.9227,1.8877,1.901,1.8942,1.8973,1.8751,1.9483,1.9307,1.9537,1.9793,1.9813,1.9535,1.9652,1.9571,1.9906,1.9682,1.9468,1.9431,1.959,1.9074,1.9395,1.9237,1.9207,1.9446,1.8739,1.8795,1.8932,1.9513,1.931,1.9487,1.9804,1.9935,1.9469,1.9491,1.9543,1.989,1.9737,1.913,1.917,1.9446,1.8893,1.9127,1.8878,1.8883,1.9035,1.8642,1.8717,1.8614,1.9789,1.9614,1.958,1.992,1.9914,1.9585,1.9331,1.9597,1.9939,1.9778,1.9322,1.9182,1.9186,1.906,1.8877,1.907,1.8854,1.9,1.8801,1.8717,1.859,1.9498,1.9332,1.9374,1.9798,1.9786,1.9227,1.939,1.9493,1.9833,1.9709,1.9102,1.9078,1.9271,1.9012,1.9057,1.8869,1.8881,1.9036,1.8706,1.8722,1.8774,1.9475,1.9328,1.9232,1.9871,1.9879,1.9332,1.9213,1.9364,1.9839,1.9784,1.9323,1.9228,1.9162,1.884,1.8832,1.8954,1.8778,1.8831,1.8781,1.8837,1.869,1.9523,1.9456,1.9315,1.9748,1.9785,1.9407,1.9256,1.9481,1.9891,1.9732,1.9272,1.9157,1.9146,1.9002,1.9186,1.9018,1.8908,1.9018,1.8749,1.881,1.8826,1.986,1.9918,1.9889,1.996,2.0041,1.9901,1.9927,1.9991,1.9972,2.0016,1.9937,1.9824,1.9899,1.9734,1.9953,1.9751,1.9778,1.991,1.9394,1.9431,1.9678,1.9385,1.9291,1.9163,1.959,1.9608,1.9251,1.925,1.9417,1.9666,1.9749,1.9199,1.9127,1.9175,1.8886,1.9251,1.8964,1.8704,1.9125,1.8684,1.8732,1.8759,-
2.0049,1.9999,2.0112,2.0092,2.018,1.9946,1.9894,2.0008,2.0188,2.0078,1.9848,1.9953,1.9955,1.9843,2.004,1.9757,1.9685,1.9874,1.9658,1.9993,1.9855,2.0039,1.9994,2.0072,2.0045,2.0054,2.0009,2.0035,2.0077,1.998,2.0172,1.9896,1.989,1.9922,1.9797,2.0011,1.9665,1.9571,1.968,1.9553,1.9767,1.9787,2.0058,1.9963,1.9969,2.0087,1.9889,1.9952,1.9911,1.9947,2.007,1.9965,1.9755,1.9759,1.987,1.9651,1.9878,1.9478,1.9687,1.9726,1.9454,1.9922,1.9975,1.9941,1.9895,2.0068,2.0152,1.9847,2.0062,1.9979,1.9907,2.0005,1.9824,1.9932,1.9948,1.9929,1.9872,2.0059,1.9708,1.9809,1.9878,1.9679,1.9918,2.0048,2.009,2.0166,2.0078,2.0127,1.9798,2.0011,1.9999,2.0051,2.0045,1.9709,1.9852,1.9954,1.9973,1.9824,2.0041,1.9679,1.98,1.9901,1.957,1.9919,2.0129,2.0039,2.0005,2.0032,2.0086,1.983,1.9924,1.9936,2.0015,1.9919,1.9644,1.9692,1.9732,1.9868,1.9689,1.989,1.9518,1.9606,1.969,1.954,1.9811,1.9856,1.9884,1.9947,1.9762,2.0123,1.9658,1.998,1.9724,1.9766,1.9508,1.9505,1.9816,1.9828,1.9715,1.9789,1.9821,1.9724,1.9536,1.9702,1.96,1.9673,1.981,1.9973,1.9933,2.0103,2.0015,2.0105,1.9944,1.9918,2.0005,1.9986,2.0072,1.9864,1.9848,1.9938,1.9728,1.9991,1.9682,1.9777,1.9864,1.9629,1.9934,2.0073,1.9956,2.0045,2.0006,1.9911,2.0239,1.9848,1.9948,2.0055,1.999,2.0213,1.9666,1.9763,1.9975,1.9747,1.9909,1.9615,1.9723,1.9918,1.9617,1.9924,1.9964,1.9885,1.9929,2.0092,1.9986,2.0075,1.9879,1.9972,2.0024,1.9898,2.0105,1.9753,1.9795,1.9999,1.9855,2.013,1.9715,1.9914,2.0004,1.9732,1.9882,2.015,-
2.0108,1.9943,2.0175,1.9869,2.0013,2.019,1.9739,2.0365,1.9577,1.9484,1.9733,1.95,1.9845,1.925,1.9518,1.943,1.9795,1.9751,1.912,1.9292,1.9374,2.0152,2.0141,1.9992,2.0144,1.9983,2.0086,1.9665,1.9946,1.994,1.9725,1.9897,1.9734,1.9766,1.9439,1.9439,1.9631,1.9561,1.9633,1.938,1.9635,1.9194,2.0169,2.0088,1.9954,2.0184,1.9977,2.0054,2,2.0101,1.9924,1.9703,2.0004,1.989,1.9931,1.9668,1.9706,1.9884,1.9764,1.9816,1.9459,1.9791,1.9359,1.9585,1.9644,1.95,2.0034,1.9773,1.9615,1.9669,1.9528,1.9889,1.9602,1.9817,1.9593,1.9758,1.9371,1.944,1.9538,1.959,1.977,1.9242,1.9586,1.9204,1.9568,1.9644,1.9441,2.0115,1.995,1.9411,1.9563,1.9356,1.9727,1.9682,1.9875,1.969,1.9898,1.9198,1.929,1.9449,1.9261,1.9889,1.919,1.9543,1.9028,1.9794,1.977,1.954,1.9923,1.9618,1.9733,1.932,1.9533,1.9444,1.9551,1.95,1.945,1.9317,1.9135,1.91,1.9312,1.9085,1.9428,1.918,1.9504,1.8947,1.9607,1.9479,1.9427,1.9724,1.9555,1.9555,1.9468,1.9377,1.977,1.9466,1.9646,1.9541,1.9238,1.9315,1.9191,1.9459,1.9125,1.9167,1.9331,1.9601,1.9072,1.9939,1.9891,1.979,2.0107,1.9841,1.9837,1.9509,1.974,1.9882,1.9558,1.9776,1.9639,1.9472,1.9223,1.926,1.9689,1.947,1.9481,1.9514,1.9877,1.9197,1.97,1.9687,1.9531,1.9821,1.9753,1.967,1.9422,1.9485,1.9812,1.9682,1.9609,1.9478,1.9409,1.9355,1.9532,1.9545,1.9447,1.9431,1.9507,1.9529,1.9426,1.9841,1.9783,1.9559,1.9934,1.9608,1.9738,1.9424,1.9424,1.9805,1.9478,1.9557,1.9638,1.9389,1.9406,1.9428,1.9522,1.946,1.9459,1.9437,1.9479,1.9434,-
1.989,1.995,1.9957,1.9707,1.995,1.989,1.9889,1.9888,1.9971,2.0171,1.9804,1.9813,1.9944,1.9763,1.9897,1.9604,1.9585,1.9566,1.9081,1.9075,1.9128,1.992,1.9864,1.9944,1.987,1.9955,1.9854,1.9773,1.9816,2.0036,2.0073,1.9723,1.96,1.9713,1.9626,1.9911,1.9287,1.905,1.9348,1.8938,1.8929,1.9051,1.9768,1.9788,1.9767,1.9827,1.9852,1.9745,1.9544,1.9741,2.0116,1.9988,1.9463,1.94,1.9713,1.9454,1.9633,1.8993,1.8931,1.9185,1.8586,1.8596,1.8985,1.9687,1.9742,1.9715,1.9636,1.9754,1.9601,1.9528,1.9566,1.9915,1.9965,1.9254,1.9253,1.9461,1.947,1.9749,1.8995,1.9066,1.9215,1.8705,1.8713,1.9135,1.9794,1.9733,1.9933,1.9795,1.994,1.9683,1.9801,1.9875,2.0088,2.0095,1.9308,1.9221,1.9783,1.9424,1.9876,1.9206,1.932,1.9428,1.8711,1.8712,1.924,1.9502,1.9517,1.9643,1.9601,1.9891,1.9522,1.9429,1.9583,1.982,2.008,1.9252,1.9339,1.9522,1.9227,1.9757,1.9185,1.9159,1.932,1.9022,1.9018,1.9208,1.9535,1.955,1.983,1.9598,1.9952,1.9497,1.9597,1.9731,1.9944,2.0016,1.9338,1.9366,1.97,1.9446,1.9863,1.9348,1.9237,1.9438,1.9169,1.9176,1.9416,1.9878,1.9707,1.9766,1.9682,1.9847,1.963,1.9601,1.9735,1.9791,1.9876,1.9382,1.936,1.9655,1.9609,1.9737,1.9484,1.926,1.9353,1.9123,1.9184,1.918,1.952,1.9494,1.9653,1.9462,1.9727,1.9263,1.9458,1.9614,1.976,1.9948,1.8942,1.9011,1.9643,1.894,1.9763,1.9032,1.9093,1.9299,1.8713,1.8775,1.9208,1.9612,1.9595,1.9693,1.9619,1.9747,1.9391,1.9363,1.968,1.9916,1.9804,1.9084,1.9128,1.9621,1.9238,1.9691,1.9023,1.9066,1.924,1.8661,1.8674,1.9104,-
1.9885,1.9959,1.9944,2.0017,2.0014,1.9901,1.9991,1.9783,2.0088,2.012,1.955,1.9625,1.9274,1.9045,1.9338,1.887,1.9246,1.9135,1.8865,1.8876,1.8949,1.9765,1.9889,1.978,2.0006,1.9926,1.9957,2.0059,1.9874,2.0112,2.0089,1.9657,1.9805,1.949,1.9339,1.9334,1.9139,1.9295,1.926,1.8955,1.8948,1.9034,1.9731,1.9803,1.9927,1.981,1.9972,1.9651,1.9958,1.9749,1.9615,1.9938,1.9177,1.9297,1.9075,1.8893,1.9109,1.8866,1.9242,1.8911,1.8777,1.8775,1.8879,1.9961,2.0034,1.9954,1.9828,1.9884,1.9781,1.99,1.9659,1.997,2.0003,1.9313,1.9468,1.9037,1.9113,1.9072,1.8936,1.9009,1.9076,1.8936,1.8923,1.885,1.9934,1.9927,1.9939,1.9944,1.9983,1.9934,1.9818,1.9801,1.9994,1.9965,1.9399,1.9604,1.9239,1.9134,1.9098,1.9119,1.9176,1.9105,1.9073,1.9078,1.9092,1.9816,1.9911,1.9984,1.9949,2.0107,1.9924,2.0191,2.0053,2.0009,2.0125,1.9917,1.9977,1.9717,1.9746,2.0042,1.9849,1.9919,1.9805,1.9846,1.9857,1.9834,1.9756,1.9868,1.9686,1.9869,1.9746,1.9869,1.992,1.9722,2.0011,2.0035,1.9625,1.9771,1.9469,1.9411,1.9422,1.9181,1.9301,1.9051,1.9117,1.9109,1.9093,2.0083,2.008,1.9831,1.9962,1.9726,1.9835,1.9686,1.95,2.0117,2.0042,1.9489,1.9553,1.928,1.914,1.9047,1.8932,1.9157,1.892,1.8616,1.8621,1.8719,2.0096,2.0047,1.9882,1.9909,1.9843,1.982,1.978,1.9595,2.0022,2.01,1.9341,1.9398,1.9042,1.8843,1.8942,1.8856,1.8898,1.8764,1.8764,1.8753,1.8737,1.9829,2,2.0038,1.9925,1.9951,1.9821,1.9843,1.9791,2.0142,2.0035,1.9458,1.9459,1.9294,1.8966,1.9176,1.8954,1.9176,1.911,1.8932,1.8916,1.9028,-
2.0335,2.0439,2.0188,2.0263,1.9758,2.0177,2.0166,2.0091,2.0274,1.999,2.0246,2.0237,2.0142,2.0217,2.0103,2.0004,1.9985,2.0055,2.0074,2.0172,2.0138,2.0154,2.0232,2.0247,2.0012,1.9925,2.0255,2.003,2.0265,2.0189,1.9881,2.0044,1.9876,1.9911,2.0011,1.8957,1.9832,1.9864,1.99,1.9816,1.9924,2.0026,2.0145,2.0189,2.0148,2.0226,2.0179,2.0196,2.0188,2.036,2,2.012,2.0211,2.0099,2.0078,2.0179,2.0022,2.0068,2.0083,2.0069,2.0168,2.0138,2.0225,2.0206,2.0069,2.0142,2.0153,2.0032,2.0207,2.0081,2.0177,2.0115,1.9919,1.9988,1.9918,1.9986,2.0075,1.95,1.9859,1.9733,1.995,2.0007,1.9995,2.0092,2.0055,2.0087,2.0108,2.0051,2.015,2.0169,1.9873,2.0048,1.987,1.9925,1.9977,1.9878,1.9918,2.0069,1.9858,1.9936,2.0065,1.9812,2.0189,2.0171,2.0165,2.0237,2.0297,2.0244,2.0083,2.0106,2.0225,1.9892,2.0138,2.0052,1.9989,2.0052,2.0077,1.9916,2.017,2.0028,2.0093,1.9971,1.9943,1.9707,2.0137,1.9989,2.0135,1.9943,1.999,1.9979,2.0147,1.9973,1.9814,2.0048,1.9858,1.9931,1.9912,1.991,1.9895,2.0199,2.0099,1.9966,1.995,1.9827,2.0011,2.0013,2.0031,1.9967,2.0007,1.983,2.0034,1.9888,2.0169,2.0231,2.0154,2.007,2.0024,2.0101,2.0171,2.0014,2.0173,2.0154,2.0083,2.0073,2.0077,2.022,2.021,2.0187,2.0147,2.0099,2.0083,2.0165,2.02,2.0045,2.012,2.0133,2.0079,2.0066,1.9875,1.9958,2.012,1.9941,2.0139,1.9789,2.0068,2.0127,1.9975,1.9785,2.0224,1.9902,1.997,2.0026,2.0091,2.0218,2.0046,1.9796,1.9778,2.0024,1.9872,1.9885,1.9945,1.988,2.0169,2.0002,1.9983,2.0098,1.9826,2.0078,2.0023,1.9982,-
1.9762,1.9732,1.981,1.9963,1.9767,1.9538,1.9081,1.9569,1.9901,1.9933,1.9319,1.9146,1.9419,1.9507,1.9419,1.9502,1.9929,1.9412,1.947,1.974,1.9141,1.9747,1.9754,1.9767,2.0084,1.9748,1.9467,1.915,1.9643,1.9884,1.9901,1.9362,1.913,1.9356,1.95,1.9307,1.9432,1.9885,1.9166,1.9667,1.9548,1.8875,2.0089,2.0059,2.0056,2.0115,1.9781,1.9719,1.9521,1.9907,1.9772,1.9943,1.9593,1.9491,1.9618,1.9628,1.9276,1.9645,1.9929,1.9558,1.9703,1.9793,1.8994,1.9839,1.9833,1.9882,1.9983,1.9714,1.962,1.9372,1.968,1.9938,1.9711,1.945,1.9301,1.9354,1.9668,1.9235,1.9559,1.9888,1.94,1.9519,1.9575,1.8939,1.9842,1.9726,1.9881,2.0112,2.0101,1.9582,1.9373,1.9947,2.0136,2.0116,1.9472,1.9217,1.9612,1.9696,1.9471,1.9513,1.9668,1.9459,1.9327,1.9268,1.9148,1.9674,1.9604,1.9658,1.9927,1.9813,1.9486,1.9411,1.996,1.9944,1.9855,1.943,1.9323,1.964,1.9945,1.9441,1.9636,1.9918,1.9669,1.968,1.9723,1.9364,1.9565,1.9519,1.9676,1.9926,1.9781,1.9337,1.9307,1.9595,2.0025,2.002,1.9361,1.9208,1.9611,1.9776,1.9661,1.9453,1.9817,1.9645,1.9489,1.9561,1.8991,1.9964,1.9935,1.9815,1.9997,1.9917,1.9638,1.9365,1.9473,2.0052,2.0156,1.9477,1.9314,1.9621,1.9706,1.9361,1.9467,1.9543,1.9349,1.927,1.9475,1.8932,2.0287,2.0335,2.0121,2.0044,1.9921,1.992,1.951,1.9817,2.0151,1.9948,1.9656,1.944,1.963,1.9786,1.9506,1.9596,1.9724,1.9548,1.946,1.9512,1.9105,2.0104,2.0094,1.9983,2.0122,1.9906,1.9756,1.9486,1.9644,2.0101,1.9871,1.9573,1.9384,1.9663,1.9904,1.9482,1.9576,1.9661,1.9468,1.9413,1.9463,1.9075,-
2.0152,1.9936,2.026,2.0206,2.0153,2.0316,2.0384,2.0261,1.9971,2.0121,2.0108,2.0216,2.02,1.9989,2.0078,2.009,2.014,2.0239,1.993,1.9972,2.0145,2.0194,2.0156,2.0177,2.0336,2.0058,2.021,2.022,2.0152,2.0189,2.0232,2.0124,2.0077,2.0134,1.9873,1.9981,1.9966,2.0022,2.0058,1.9855,1.9803,2.0019,2.0266,2.0195,2.026,2.0203,2.0157,2.0267,2.0248,2.0286,2.0352,2.024,2.0395,2.0344,2.0361,2.0081,2.0179,2.0261,2.0232,2.011,2.0184,2.0178,2.0215,2.03,2.0339,2.0179,2.032,2.0136,2.0295,2.0184,2.0251,2.0307,2.012,2.0195,2.0294,2.009,1.9971,1.9852,2.0066,1.9987,1.9902,1.9946,2.0099,2.0026,2.0224,2.013,2.0291,2.0251,2.0326,2.0165,2.0296,2.0258,2.0053,2.021,1.9891,2.015,2.0179,1.9813,1.9963,1.9691,1.9855,1.9859,1.9564,1.962,1.9858,2.0063,2.0063,2.0025,2.0083,2.0195,2.0113,2.0253,2.0193,2.005,2.0219,2.0047,2.0113,2.0141,1.9746,1.995,1.9823,2.0044,1.9724,1.9803,1.9705,1.9793,2.025,2.0238,1.9936,2.0334,2.0336,2.03,2.0262,2.0253,2.0318,2.0368,2.0231,2.0226,2.0327,1.9971,2.0051,1.99,2.0137,2.0011,1.9828,1.996,2.0077,2.0003,2.0088,2.0002,2.0177,2.0237,2.0113,2.0149,2.0198,2.0223,2.0038,2.0196,2.0231,2.029,1.9852,2.0069,2.0049,2.0103,2.0171,1.9976,2.0139,2.0161,2.0384,2.0357,2.0293,2.0208,2.0129,2.0302,2.0359,2.0318,1.9994,2.0141,2.0194,2.0247,2.0172,2.0165,2.0256,2.0044,2.0221,2.0082,2.0273,2.0259,2.0225,2.0181,2.0139,2.0319,2.0188,2.0198,2.0076,2.0256,2.0274,2.0084,2.0111,2.0306,2.0233,2.0262,2.0304,2.0117,2.0282,1.9869,2.0145,2.0105,2.0252,2.0289,-
