col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,Indicator
1,0.054289,1,0.058184,0.05787,1,0.055276,0.053716,0.057963,1,0.055271,0.050551,0.056298,0.066943,1,0.053953,0.05439,0.054911,0.057909,0.063431,1,0.052157,0.05069,0.057706,0.062754,0.068896,0.063988,1,-
1,0.081384,1,0.11606,0.063022,1,0.068669,0.049578,0.085902,1,0.059854,0.049701,0.061911,0.065695,1,0.058598,0.048685,0.065778,0.083995,0.073083,1,0.061126,0.051228,0.070894,0.089079,0.067889,0.14923,1,-
1,0.065552,1,0.084452,0.058672,1,0.079836,0.053561,0.083851,1,0.067018,0.048826,0.071286,0.097837,1,0.063975,0.048933,0.064093,0.11166,0.14871,1,0.064626,0.053438,0.066132,0.10617,0.11569,0.2536,1,-
1,0.067902,1,0.21051,0.063234,1,0.082995,0.053131,0.10275,1,0.07892,0.053585,0.086074,0.092969,1,0.075194,0.051525,0.080804,0.094713,0.12258,1,0.077137,0.052223,0.088689,0.10083,0.11146,0.14527,1,-
1,0.09827,1,0.2044,0.091863,1,0.089237,0.057764,0.112,1,0.064287,0.0498,0.076674,0.11527,1,0.073278,0.051626,0.079441,0.15656,0.13914,1,0.057392,0.051017,0.056756,0.080242,0.07961,0.080676,1,-
1,0.079154,1,0.13621,0.065214,1,0.080508,0.053702,0.10153,1,0.071483,0.052544,0.079473,0.10426,1,0.060678,0.053869,0.064032,0.096541,0.12414,1,0.061426,0.053139,0.064331,0.094002,0.11693,0.51038,1,-
1,0.080355,1,0.18472,0.06637,1,0.088235,0.055287,0.12492,1,0.080146,0.054833,0.10918,0.12671,1,0.072718,0.054444,0.08974,0.11987,0.13007,1,0.074143,0.054626,0.090353,0.11884,0.12812,0.60054,1,-
1,0.13185,1,0.13824,0.096968,1,0.078202,0.056804,0.081036,1,0.066387,0.054919,0.067935,0.12545,1,0.058709,0.05491,0.059068,0.11692,0.12846,1,0.0634,0.051793,0.061706,0.11682,0.11316,0.1587,1,-
1,0.1082,1,0.10887,0.079285,1,0.075556,0.059005,0.09188,1,0.055143,0.054456,0.062518,0.070254,1,0.056971,0.05161,0.05469,0.083502,0.072056,1,0.053422,0.051378,0.0576,0.086668,0.069719,0.11792,1,-
1,0.08714,1,0.11652,0.076621,1,0.059035,0.050409,0.071319,1,0.057887,0.051915,0.05733,0.066634,1,0.054813,0.051372,0.059037,0.064463,0.067355,1,0.058013,0.054691,0.060245,0.065866,0.06402,0.073091,1,-
1,0.064762,1,0.16514,0.065806,1,0.079947,0.051229,0.10077,1,0.067896,0.051007,0.081407,0.087455,1,0.062517,0.052344,0.072931,0.096951,0.11626,1,0.065729,0.049557,0.075691,0.09992,0.095784,0.16509,1,-
1,0.070954,1,0.093404,0.05747,1,0.07227,0.057822,0.076725,1,0.066034,0.055163,0.065531,0.10406,1,0.056461,0.048604,0.06153,0.079982,0.10734,1,0.062418,0.054753,0.055213,0.080391,0.091799,0.08766,1,-
1,0.12042,1,0.16729,0.095555,1,0.077911,0.060795,0.10344,1,0.069545,0.05582,0.085899,0.12187,1,0.063144,0.050843,0.076968,0.14624,0.14372,1,0.063144,0.052808,0.070014,0.15034,0.12487,0.25034,1,+
1,0.23015,1,0.2427,0.14077,1,0.069619,0.05548,0.10789,1,0.064224,0.051135,0.080094,0.15777,1,0.065,0.054108,0.082451,0.16512,0.15468,1,0.061597,0.052304,0.079473,0.15359,0.13832,0.15775,1,+
1,0.18133,1,0.13727,0.10677,1,0.07291,0.067303,0.1435,1,0.058123,0.0558,0.089026,0.11939,1,0.05335,0.052249,0.064256,0.111,0.12072,1,0.053377,0.052113,0.064624,0.11131,0.11995,0.88762,1,+
1,0.33646,1,0.36538,0.27395,1,0.093646,0.088537,0.10679,1,0.096951,0.08942,0.10444,0.10228,1,0.072878,0.066368,0.077717,0.089994,0.14262,1,0.067536,0.063659,0.070683,0.082809,0.11066,0.15912,1,+
