bands,A-TL,A-C,A-TR,A-P,TL-C,TL-TR,TL-P,C-TR,C-P,TR-P
Full,-0.92,-1.243,2.981,1.546,-1.061,1.647,0.232,2.132,0.273,1.587
Delta,-2.597,-2.173,1.283,-1.506,-2.557,-0.212,-2.395,-0.738,-2.294,-0.253
Theta,-1.162,-1.506,1.89,1.122,-1.304,1.243,0.0505,0.96,0.374,0.657
Alpha,1.748,1.506,2.617,3.507,1.566,2.9,2.799,2.435,2.415,2.153
Beta,-0.0303,-0.495,1.87,1.87,-0.333,1,0.899,1.323,0.657,0
Gamma,-0.96,-1.384,0.616,-0.0505,-0.899,-0.0707,-0.616,-1.607,-1.081,-0.475
