region,A,TL,C,TR,P
A,1,0.30112,0.18583,0.096608,0.14458
TL,0.30112,1,0.29742,0.075007,0.12207
C,0.18583,0.29742,1,0.062532,0.088673
TR,0.096608,0.075007,0.062532,1,0.12139
P,0.14458,0.12207,0.088673,0.12139,1
