region,A,TL,C,TR,P
A,0.0,0.023330000000000017,0.01938000000000001,-0.027541999999999997,-0.02027000000000001
TL,0.023330000000000017,0.0,0.028759999999999952,-0.01239499999999999,-0.004580000000000015
C,0.01938000000000001,0.028759999999999952,0.0,-0.011562000000000003,-0.0034299999999999886
TR,-0.027541999999999997,-0.01239499999999999,-0.011562000000000003,0.0,-0.0223
P,-0.02027000000000001,-0.004580000000000015,-0.0034299999999999886,-0.0223,0.0
