bands,Anterior,L-Temporal,Central,R-Temporal,Posterior
Higuchi Fractal Dimension (Full band),2.961,2.617,2.779,3.082,3.749
Delta,0.778,1.829,1.112,1.991,2.233
Theta,2.072,1.182,1.829,1.374,2.274
Alpha,-0.485,-0.111,-0.354,-0.576,-0.576
Beta,-0.536,-1.142,-0.475,-0.718,-1.213
Gamma,2.698,2.699,1.587,2.385,1.961
