region,MEAN,STDEV
F,0.7342519023432029,0.13740552112199456
LT,0.8395315007093875,0.06580655837526878
C,0.7946259640010727,0.08612276077836244
RT,0.7155266820338805,0.11262812701794275
P,0.8250355833367802,0.08553273949381938
O,0.8768252029179668,0.050675331719344366
