region,MEAN,STDEV
F,0.6468086470535205,0.12062353072481238
LT,0.4965783119375338,0.15817517636343675
C,0.6385637345983506,0.1136978230426418
RT,0.4590480959515528,0.17167752721888233
P,0.6446778941453458,0.11776133701821737
O,0.6800117148533715,0.11748175819413953
