-200,89.41,-73.383,-129.73,-172.32,-509.81,-297.07,-943.28,-607.72
-196,120.16,-113.11,-59.449,-166.44,-493.24,-261.26,-862.44,-570.74
-192,36.782,-187.73,-27.818,-191.29,-480.05,-243.25,-789.26,-631.15
-188,-141.77,-265.92,-47.11,-236.78,-480.73,-242.47,-761.54,-768.1
-184,-372.71,-325.73,-120.61,-291.36,-502.05,-257.1,-803.48,-935.65
-180,-602.26,-356,-235.31,-339.88,-542.42,-282.2,-907.99,-1072.7
-176,-778.46,-352.35,-360.16,-364.23,-591.05,-309.23,-1034.4,-1121.4
-172,-861.89,-313.94,-453.73,-348.89,-630.22,-328.07,-1123.9,-1050.7
-168,-833.63,-243.69,-479.63,-289.24,-640.6,-330.92,-1124.8,-872.76
-164,-699.38,-150.6,-422.02,-196.74,-608.29,-315.79,-1017.3,-643.04
-160,-488.44,-50.536,-291.87,-97.04,-531.68,-287.52,-822.98,-438.06
-156,-247.38,35.869,-120.66,-20.918,-424.77,-255.58,-598.13,-320.75
-152,-29.125,87.636,53.771,7.3668,-314.22,-229.9,-409.65,-311.32
-148,120.13,88.795,199.74,-20.955,-230.07,-216.75,-305.35,-379.38
-144,172.91,34.001,296.64,-95.962,-193.35,-216.52,-290.78,-461
-140,127.35,-67.29,333.31,-192.05,-206.17,-223.73,-325.07,-490.6
-136,5.8304,-191.4,305.41,-276.11,-249.86,-228.73,-340.52,-430.8
-132,-154.44,-308.35,216.1,-319.02,-293.32,-220.67,-278.15,-286.24
-128,-314.7,-394.81,79.262,-307.08,-308.16,-191.23,-120.22,-96.728
-124,-445.84,-444.72,-79.497,-248.67,-283.07,-138.52,99.443,84.956
-120,-533.44,-469.72,-228.03,-171.56,-228.94,-69.58,313.96,218.31
-116,-576.17,-488.18,-338.52,-110.85,-171.8,0.52924,459.12,290.22
-112,-579.81,-509.75,-398.33,-92.622,-137.5,53.93,503.65,312.59
-108,-550.47,-525.92,-413.75,-121.73,-137.58,77.516,457.44,306.21
-104,-489.82,-512.76,-403.3,-179.87,-164.39,69.194,357.8,283.66
-100,-394.96,-444.27,-384.35,-234.39,-196.98,39.175,248.17,244.65
-96,-263.39,-308.78,-361.96,-252.92,-212.94,5.4649,164.8,186.81
-92,-100.56,-119.64,-327.23,-216.85,-198.36,-14.05,135.26,121.68
-88,75.316,85.075,-266.08,-128.48,-151.24,-8.9349,180.7,80.285
-84,235.62,254.84,-171.77,-9.8126,-78.734,20.171,311.31,100.35
-80,350.6,345.92,-52.933,105.85,7.6853,62.546,514.17,202.44
-76,400.28,339.36,66.874,185.96,95.748,101.96,743.59,372.32
-72,380.81,249.12,157.25,210.17,173.85,122.93,927.77,563.09
-68,303.9,116.25,192.57,177,232.45,116.78,996.02,716.84
-64,192.19,-7.7942,163.49,103.81,266.99,85.617,915.54,791.8
-60,74.325,-80.36,84.323,20.359,281.35,42.713,715.63,778.33
-56,-18.553,-80.624,-8.2955,-41.074,288.31,8.3537,480.86,696.38
-52,-57.247,-12.688,-68.318,-56.03,304.55,2.1554,312.12,580.09
-48,-21.932,99.88,-61.489,-15.509,341.5,34.714,275.08,462.09
-44,88.679,223.93,16.114,71.178,397.98,102.57,366.3,366.38
-40,251.98,327.53,134.6,179.77,460.6,189.35,517.48,309.14
-36,426.05,389.72,246.15,280.48,513.28,273.03,635.45,300.22
-32,565.43,407.48,311.64,350.63,549.83,335.64,653.22,340.08
-28,641.54,397.26,321.65,384.92,580.22,370.61,561.9,414.07
-24,656.21,388.4,299.28,397.43,624.46,383.89,406.69,491.41
-20,638.88,409.06,284.56,412.86,697,389,253.61,533.91
-16,628.31,470.6,311.11,451.36,792.32,399.12,149.96,511.78
-12,650.23,560.09,389.28,516.12,882.91,420.88,102.2,418.1
-8,705.59,647.92,503.59,592.32,932.9,452.85,81.081,274.16
-4,776.24,707.41,623.79,658.3,919.55,488.3,46.275,122.95
0,841.65,733.89,721.46,700.8,848.12,520.09,-27.357,13.563
4,893.25,748.31,782.91,722.54,749.66,544.07,-137.56,-18.321
8,936.4,781.41,812.4,736.61,662.41,559.75,-260.93,32.785
12,981.24,849.22,825.65,753.37,609.65,568.53,-370.06,135.67
16,1032,938.93,838.64,771.41,589.49,571.78,-448.93,232.49
20,1083.4,1016.6,858.52,780.94,583.35,570.24,-497.79,264.75
24,1125.9,1051.6,881.19,776.26,575.7,565.37,-527.63,203.73
28,1153.7,1038.7,895.62,766,569.39,560.76,-550.08,68.013
32,1170.2,1002.5,891.86,771.79,584.83,562.28,-569.56,-83.919
36,1184.8,981.25,868.3,815.98,644.54,576.19,-580.73,-182.48
40,1206,1001.5,834.91,908.24,755.54,606.77,-570.77,-180.01
44,1233.9,1062.6,811.25,1041,902.71,655.16,-525.54,-69.327
48,1259.1,1139.6,820.16,1195.6,1056,720,-438.05,119.21
52,1272.1,1202.8,879.77,1354,1184.8,798.73,-316.69,335
56,1277.9,1240.2,997.91,1506.8,1268.6,887.95,-188.38,525.65
60,1305.5,1270,1171.3,1654.2,1302,982.41,-92.162,648.62
64,1402,1332.8,1389.4,1801.8,1294.4,1074.1,-63.914,676.88
68,1609.4,1469.3,1639.8,1954.1,1269.1,1153.5,-118.8,603.23
72,1936.6,1694.6,1910.2,2110.2,1259.5,1212.5,-241.43,444.78
76,2343.3,1985.7,2187.5,2262.1,1299.1,1248.1,-390.35,243.14
80,2749.4,2289.4,2453.2,2395.5,1405.5,1263.6,-515.45,54.981
