instance code,patient num,instance num,e1,e2,e3,e4,e5,e6,e7,e8,e9,e10,e11,e12,e13,e14,e15,e16,e17,e18,e19,e20,e21,e22,e23,e24,e25,e26,e27,e28,e29,e30,e31,e32,e33,e34,e35,e36,e37,e38,e39,e40,e41,e42,e43,e44,e45,e46,e47,e48,e49,e50,e51,e52,e53,e54,e55,e56,e57,e58,e59,e60,e61,e62,e63,e64,e65,e66,e67,e68,e69,e70,e71,e72,e73,e74,e75,e76,e77,e78,e79,e80,e81,e82,e83,e84,e85,e86,e87,e88,e89,e90,e91,e92,e93,e94,e95,e96,e97,e98,e99,e100,e101,e102,e103,e104,e105,e106,e107,e108,e109,e110,e111,e112,e113,e114,e115,e116,e117,e118,e119,e120,e121,e122,e123,e124,e125,e126,class
AD50not_17,0,0,3.268817204,3.268817204,3.268817204,9.301075269,4.698924731,4.720430108,8.23655914,9.505376344,8.053763441,6.827956989,7.817204301,8.23655914,8.290322581,8.365591398,9.322580645,8.387096774,9.677419355,8.365591398,8.193548387,8.387096774,9.677419355,5.516129032,9.075268817,7.47311828,4.677419355,8.967741935,7.47311828,5.516129032,4.677419355,9.548387097,3.268817204,3.268817204,6.849462366,3.279569892,3.268817204,8.569892473,8.23655914,9.23655914,8.075268817,9.322580645,5.451612903,3.032258065,8.193548387,9.322580645,5.451612903,8.365591398,8.193548387,7.956989247,8.365591398,9.64516129,4.279569892,9.548387097,9.075268817,9.075268817,4.677419355,4.677419355,8.290322581,9.23655914,8.784946237,9.677419355,5.516129032,4.677419355,8.290322581,5.505376344,8.784946237,8.967741935,5.516129032,8.967741935,5.516129032,8.967741935,3.268817204,6.849462366,8.23655914,8.569892473,8.924731183,8.23655914,5.451612903,8.075268817,6.827956989,9.322580645,3.387096774,8.365591398,9.64516129,8.602150538,7.892473118,9.075268817,9.64516129,7.956989247,7.892473118,7.47311828,4.279569892,5.516129032,5.516129032,8.967741935,3.268817204,3.268817204,3.268817204,3.182795699,9.301075269,8.569892473,3.408602151,8.23655914,8.290322581,8.290322581,9.322580645,9.322580645,9.677419355,9.892473118,8.290322581,8.193548387,9.322580645,9.677419355,9.76344086,7.47311828,8.193548387,8.967741935,5.516129032,8.365591398,4.677419355,8.967741935,5.516129032,4.247311828,4.677419355,8.967741935,5.580645161,4.247311828,1
AD50not_07,1,1,3.086021505,3.408602151,3.408602151,3.064516129,4.150537634,5.537634409,3.419354839,6.655913978,3.548387097,3.311827957,5.537634409,6.655913978,3.279569892,3.311827957,3.129032258,3.784946237,6.655913978,3.548387097,3.311827957,3.129032258,6.655913978,5.935483871,6.258064516,3.634408602,4.333333333,6.655913978,5.548387097,5.967741935,5.548387097,5.365591398,3.086021505,4.150537634,3.408602151,3.408602151,4.150537634,3.107526882,5.537634409,6.655913978,3.311827957,3.666666667,5.537634409,3.548387097,3.301075269,3.129032258,6.655913978,3.752688172,3.451612903,3.634408602,6.258064516,6.258064516,3.129032258,6.655913978,6.258064516,6.258064516,4.333333333,4.333333333,3.064516129,6.655913978,3.279569892,6.655913978,6.258064516,4.333333333,3.064516129,6.655913978,5.935483871,6.655913978,5.935483871,6.655913978,5.935483871,6.655913978,3.666666667,3.408602151,3.215053763,4.150537634,3.35483871,5.537634409,6.655913978,3.311827957,3.311827957,5.537634409,6.655913978,3.548387097,3.311827957,3.129032258,6.655913978,6.258064516,3.634408602,3.634408602,4.333333333,3.376344086,3.129032258,3.483870968,3.193548387,5.365591398,3.086021505,3.408602151,4.150537634,3.408602151,3.064516129,3.107526882,5.537634409,6.655913978,3.064516129,3.548387097,4.268817204,3.129032258,6.655913978,6.655913978,3.548387097,3.129032258,3.129032258,6.655913978,5.935483871,3.634408602,3.129032258,6.655913978,5.935483871,6.258064516,4.333333333,6.655913978,3.483870968,5.548387097,5.548387097,5.365591398,5.548387097,5.365591398,1
AD50not_04,2,2,6.161290323,6.161290323,6.161290323,6.021505376,6.161290323,5.408602151,5.935483871,5.935483871,6.419354839,6.430107527,6.086021505,5.935483871,6.784946237,6.430107527,6.430107527,5.806451613,6.096774194,6.580645161,6.430107527,6.247311828,6.064516129,6.268817204,6.268817204,6.268817204,6.064516129,6.064516129,6.268817204,6.268817204,6.268817204,6.064516129,6.021505376,6.161290323,6.161290323,5.935483871,6.161290323,6.430107527,6.086021505,5.935483871,6.430107527,6.344086022,6.086021505,6.419354839,6.430107527,6.247311828,5.935483871,6.784946237,6.247311828,6.225806452,6.268817204,6.268817204,6.268817204,6.268817204,6.268817204,6.268817204,6.268817204,6.064516129,6.419354839,6.096774194,6.462365591,6.064516129,6.268817204,6.064516129,6.419354839,6.064516129,6.268817204,6.064516129,6.268817204,6.064516129,6.268817204,6.096774194,5.408602151,6.161290323,5.408602151,6.419354839,6.430107527,6.086021505,5.935483871,6.419354839,6.430107527,6.247311828,5.935483871,6.784946237,6.430107527,6.247311828,5.774193548,6.268817204,6.559139785,6.225806452,6.064516129,6.268817204,6.268817204,6.268817204,6.268817204,6.064516129,6.161290323,6.161290323,6.161290323,5.935483871,6.419354839,6.430107527,6.161290323,5.935483871,6.419354839,6.419354839,6.430107527,6.247311828,6.096774194,6.096774194,6.462365591,6.430107527,6.247311828,6.096774194,6.268817204,6.268817204,6.268817204,6.064516129,6.268817204,6.268817204,6.268817204,6.064516129,6.268817204,6.268817204,5.387096774,6.064516129,6.268817204,6.268817204,1
AD50not_31,3,3,4.258064516,4.258064516,4.258064516,4.591397849,3.47311828,4.075268817,7.397849462,4.258064516,8.322580645,4.075268817,4.075268817,3.258064516,8.602150538,8.322580645,4.182795699,3.258064516,7.290322581,8.139784946,3.623655914,4.139784946,9.247311828,9.053763441,3.946236559,3.35483871,7.376344086,8.333333333,5.516129032,3.946236559,3.946236559,8.978494624,3.47311828,4.075268817,4.258064516,4.258064516,8.322580645,4.075268817,3.258064516,4.258064516,7,4.075268817,3.258064516,8.322580645,3.075268817,3.258064516,7.709677419,8.322580645,4.11827957,4.559139785,3.838709677,5.516129032,5.516129032,9.247311828,8.870967742,8.870967742,7.376344086,3.35483871,8.129032258,7.505376344,8.043010753,8.086021505,3.838709677,8.978494624,7.204301075,3.731182796,8.043010753,8.086021505,3.946236559,8.978494624,3.838709677,8.333333333,4.075268817,4.075268817,4.258064516,8.322580645,4.075268817,3.258064516,3.258064516,7.752688172,8.322580645,3.258064516,7.709677419,8.139784946,8.322580645,5.612903226,3.505376344,3.827956989,3.623655914,3.913978495,9.247311828,5.516129032,5.516129032,4.860215054,8.989247312,8.978494624,4.258064516,4.258064516,3.47311828,4.258064516,4.591397849,4.075268817,3.440860215,7.709677419,7.204301075,8.720430108,3.258064516,3.258064516,3.516129032,7.505376344,9.032258065,3.258064516,3.258064516,3.806451613,8.043010753,5.516129032,8.161290323,8.333333333,8.043010753,8.870967742,3.35483871,8.978494624,4.860215054,3.946236559,8.978494624,8.978494624,4.860215054,8.989247312,1
AD50not_29,4,4,3.258064516,3.258064516,3.258064516,6.623655914,6.247311828,5.784946237,4.344086022,8.204301075,6.623655914,3.462365591,6.333333333,3.956989247,6.623655914,6.344086022,3.462365591,7.344086022,6.516129032,5.075268817,6.806451613,3.935483871,9.559139785,8.817204301,5.075268817,3.032258065,9.559139785,9.559139785,3.23655914,6.430107527,4.23655914,4.23655914,4.440860215,3.215053763,4.344086022,3.258064516,6.247311828,4,9.129032258,3.709677419,4.817204301,6.333333333,4.344086022,6.623655914,4.817204301,7.419354839,7.344086022,5.075268817,4.172043011,7.35483871,5.075268817,3.032258065,5.634408602,9.559139785,9.559139785,5.150537634,9.559139785,9.559139785,6.623655914,4.612903226,7.623655914,6.516129032,9.559139785,9.559139785,6.623655914,8.107526882,6.483870968,9.559139785,4.23655914,9.559139785,6.483870968,4.23655914,5.784946237,3.215053763,5.784946237,6.247311828,5.838709677,9.129032258,3.709677419,6.344086022,4.817204301,7.419354839,7.344086022,5.075268817,6.537634409,7.419354839,7.344086022,5.075268817,5.075268817,6.387096774,9.559139785,3.032258065,5.731182796,6.365591398,6.451612903,4.23655914,3.215053763,3.215053763,6.247311828,4.344086022,7.827956989,5.784946237,6.333333333,8.204301075,6.623655914,6.623655914,6.333333333,6.333333333,7.344086022,8.107526882,6.623655914,4.817204301,7.419354839,6.516129032,3.989247312,3.032258065,4.172043011,9.559139785,9.559139785,5.150537634,9.559139785,9.559139785,6.430107527,3.032258065,9.559139785,4.23655914,4.23655914,4.23655914,1
AD50not_09,5,5,8.053763441,8.053763441,8.053763441,8.053763441,8.053763441,8.053763441,8.053763441,3.397849462,8.053763441,8.053763441,8.053763441,8.053763441,3.924731183,8.053763441,8.053763441,7.795698925,7.258064516,6.075268817,6.784946237,7.720430108,7.623655914,5.193548387,6.075268817,7.741935484,7.741935484,7.623655914,7.741935484,7.741935484,7.741935484,7.741935484,8.053763441,8.053763441,8.053763441,8.053763441,8.053763441,8.053763441,8.053763441,8.053763441,8.053763441,8.053763441,8.053763441,8.053763441,8.053763441,6.817204301,7.752688172,6.075268817,7.720430108,7.698924731,6.075268817,7.741935484,7.741935484,7.623655914,7.870967742,7.741935484,7.741935484,7.741935484,8.053763441,7.752688172,6.075268817,7.623655914,7.870967742,7.741935484,3.924731183,7.623655914,3.11827957,7.623655914,5.193548387,7.623655914,3.11827957,7.752688172,8.053763441,8.053763441,8.053763441,8.053763441,8.053763441,8.053763441,8.053763441,8.053763441,8.053763441,8.053763441,7.795698925,4.795698925,6.075268817,7.795698925,7.698924731,6.075268817,6.075268817,7.860215054,7.623655914,7.741935484,7.741935484,3.032258065,7.623655914,7.623655914,8.053763441,8.053763441,8.053763441,8.053763441,8.053763441,8.053763441,8.053763441,7.752688172,3.924731183,8.053763441,8.053763441,6.817204301,7.752688172,7.258064516,3.924731183,7.720430108,7.720430108,7.698924731,6.075268817,7.096774194,7.860215054,7.623655914,5.193548387,7.870967742,7.741935484,7.623655914,7.870967742,7.741935484,7.741935484,7.741935484,7.741935484,7.741935484,1
AD50not_05,6,6,4.602150538,4.602150538,3.602150538,6.752688172,6.462365591,6.47311828,5.956989247,7.258064516,6.784946237,6.462365591,4.76344086,7.258064516,8.634408602,6.462365591,6.462365591,7.258064516,8.655913978,7.569892473,6.612903226,6.505376344,7.483870968,8.075268817,7.11827957,8.741935484,3.290322581,3.290322581,8.086021505,8.075268817,3.290322581,3.290322581,4.602150538,6.462365591,5.956989247,3.602150538,6.462365591,6.462365591,5.956989247,7.258064516,6.462365591,6.010752688,7.258064516,7.569892473,6.462365591,6.505376344,7.483870968,7.11827957,6.462365591,7.483870968,8.075268817,5.11827957,8.086021505,3.290322581,7.11827957,8.075268817,3.290322581,3.290322581,7.569892473,8.655913978,8.612903226,8.655913978,8.075268817,3.290322581,8.634408602,3.290322581,8.612903226,3.290322581,5.215053763,3.290322581,8.634408602,9.892473118,6.462365591,4.602150538,5.956989247,6.462365591,6.462365591,5.956989247,7.258064516,6.462365591,6.462365591,6.505376344,7.258064516,7.11827957,6.462365591,6.505376344,7.483870968,7.11827957,5.11827957,7.483870968,3.290322581,5.11827957,8.086021505,3.290322581,3.290322581,3.290322581,4.602150538,3.602150538,6.462365591,7.258064516,6.752688172,6.462365591,6.47311828,7.258064516,8.634408602,7.569892473,6.462365591,5.956989247,8.655913978,9.892473118,7.569892473,6.462365591,6.505376344,7.483870968,8.075268817,7.129032258,7.129032258,3.290322581,8.075268817,8.075268817,3.290322581,3.290322581,8.075268817,8.075268817,3.290322581,3.290322581,5.215053763,3.290322581,1
AD50not_20,7,7,3.010752688,3.311827957,3.311827957,3.010752688,3.010752688,5.709677419,4.376344086,3.741935484,3.010752688,3.849462366,4.35483871,3.505376344,3.268817204,3.247311828,4.35483871,4.35483871,8.52688172,4.268817204,3.279569892,6.548387097,3.129032258,7.655913978,3.569892473,4.247311828,4.752688172,4.838709677,3.279569892,4.268817204,4.268817204,3.397849462,3,3,3.311827957,3.741935484,3.010752688,5.053763441,4.376344086,3.741935484,3.010752688,6.548387097,3.505376344,3.268817204,3.849462366,3.913978495,3.47311828,7.440860215,3.247311828,3.365591398,3.430107527,3.279569892,4.204301075,6.430107527,3.430107527,3.430107527,4.752688172,4.752688172,8.215053763,8.52688172,5.731182796,6,3.806451613,7.23655914,8.215053763,8.52688172,7.655913978,9.032258065,5.107526882,4.268817204,3.924731183,9.032258065,4.172043011,5.053763441,4.376344086,3.010752688,3.010752688,3.365591398,4.35483871,3,3.913978495,3.505376344,3.505376344,3.279569892,3.279569892,4.204301075,3.365591398,4.268817204,3.827956989,4.204301075,3.408602151,3.279569892,3.279569892,5.107526882,5.107526882,5.107526882,3.311827957,3.311827957,3,3.172043011,3.010752688,4.537634409,4.376344086,7.559139785,8.215053763,3.139784946,3.849462366,4.35483871,8.376344086,8.52688172,3.225806452,3.849462366,4.548387097,3.720430108,7.655913978,3.279569892,3.279569892,4.838709677,7.655913978,3.430107527,4.752688172,3.924731183,5.107526882,3.451612903,4.161290323,3.397849462,5.107526882,5.107526882,1
AD50not_12,8,8,7.268817204,3.344086022,3.043010753,5.827956989,8.311827957,7.903225806,9.580645161,6.978494624,8.419354839,7.903225806,7.903225806,9.580645161,6.860215054,9.741935484,7.903225806,9.580645161,7.602150538,7.139784946,9.741935484,8.634408602,8.258064516,7.784946237,8.784946237,9.053763441,8.258064516,8.88172043,8.784946237,9.806451613,9.806451613,8.88172043,7.268817204,8.311827957,9.580645161,3.043010753,8.311827957,7.903225806,7.903225806,9.580645161,7.903225806,7.903225806,9.580645161,9.741935484,7.903225806,7.903225806,8.043010753,9.741935484,8.634408602,8.258064516,8.784946237,8.784946237,8.774193548,8.258064516,8.784946237,8.784946237,9.709677419,8.258064516,9.376344086,8.817204301,6.860215054,8.258064516,9.806451613,8.258064516,5.827956989,8.817204301,8.23655914,8.88172043,9.806451613,8.88172043,9.075268817,8.88172043,8.311827957,8.311827957,7.903225806,7.903225806,7.903225806,7.494623656,9.580645161,9.741935484,7.903225806,7.494623656,9.580645161,9.741935484,9.741935484,9.580645161,8.258064516,9.741935484,9.741935484,8.322580645,8.258064516,8.784946237,8.774193548,9.806451613,8.88172043,8.88172043,7.268817204,3.043010753,8.311827957,9.580645161,5.827956989,7.903225806,7.903225806,6.978494624,9.376344086,8.47311828,7.903225806,7.903225806,8.043010753,8.817204301,6.440860215,7.494623656,7.494623656,8.258064516,6.860215054,8.784946237,8.634408602,8.258064516,9.806451613,8.784946237,8.258064516,8.88172043,9.806451613,9.806451613,9.806451613,8.88172043,9.806451613,9.806451613,1
AD50not_10,9,9,3.247311828,3.408602151,3.408602151,3.247311828,5.741935484,4.021505376,4.021505376,3.408602151,4.795698925,4.419354839,4.634408602,3.440860215,3.204301075,5.311827957,4.043010753,4.129032258,3.634408602,5.870967742,3,3,3.053763441,3.548387097,3.548387097,3,3.053763441,3.634408602,3,3.838709677,4.172043011,3.838709677,3.247311828,5.741935484,4.021505376,3.408602151,3.247311828,4.419354839,4.021505376,3.440860215,4.419354839,4.419354839,4.634408602,5.247311828,4.247311828,4.043010753,3.075268817,3.967741935,3.666666667,3.053763441,3.548387097,3.11827957,4.870967742,3.053763441,3.548387097,3.548387097,4.870967742,3.634408602,3.204301075,3.107526882,5.978494624,3.634408602,3.548387097,3.634408602,3.817204301,3.107526882,3.021505376,3.634408602,3.817204301,5.35483871,3.817204301,3.634408602,3.698924731,4.021505376,4.021505376,5.741935484,4.419354839,4.634408602,4.634408602,6.903225806,4.419354839,4.634408602,3.731182796,3.967741935,3.11827957,4.129032258,4.129032258,3.548387097,3,4.870967742,3.053763441,3,3,3.817204301,3.838709677,3.419354839,5.741935484,4.021505376,5.741935484,3.408602151,4.795698925,4.419354839,4.634408602,3.107526882,3.204301075,3.204301075,3.989247312,4.043010753,3.107526882,3.107526882,3.204301075,4.247311828,4.043010753,3.634408602,5.870967742,3,3,3.634408602,3.548387097,3.548387097,3.053763441,5.35483871,3.817204301,3.838709677,3.548387097,3.838709677,3.838709677,4.172043011,1
