-200,115.07,82.782,213.03,348.96,161.53,249.59,689.52,1492
-196,169.88,97.507,275.92,355.69,192.8,217.48,661.56,1415.6
-192,221.2,123.06,312.93,343.19,213.14,204.86,649.41,1312.3
-188,250.69,146.25,296.74,314.32,218.94,213.32,655.37,1191.2
-184,243.6,151.35,213.47,272.74,210.27,234.68,669.74,1068.5
-180,197.89,128.55,77.297,223.14,191.75,253.48,676.6,960.04
-176,125.39,78.3,-72.757,170.93,169.77,253.59,662.86,875.44
-172,44.555,10.119,-192.84,121.46,147.99,225.8,625.72,816.23
-168,-30.042,-62.235,-257.53,78.485,125.02,172.26,574.51,777.98
-164,-93.622,-126.14,-270.83,42.162,96.369,105.42,525.75,752.18
-160,-148.74,-173.52,-258.31,8.1007,59.271,42.162,493.75,725.93
-156,-196.97,-201.32,-246.93,-30.586,16.263,-3.2598,481.97,681.72
-152,-231.93,-209.62,-247.07,-78.035,-25.116,-24.109,480.35,601.64
-148,-239.95,-199.04,-248.33,-130,-55.992,-22.044,470.67,476.93
-144,-208.42,-169.12,-230.56,-172.19,-70.334,-4.4898,436.74,317.11
-140,-136.3,-118.99,-181.15,-185.09,-67.205,19.796,373.17,150.58
-136,-39.201,-50.092,-106.45,-153.54,-50.783,44.78,287.29,13.303
-132,54.788,30.619,-29.991,-75.973,-29.122,68.944,193.5,-68.623
-128,116.37,109.47,20.64,32.152,-12.269,93.853,104.43,-91.15
-124,127.61,168.69,29.555,142.81,-9.4005,120.32,25.169,-71.573
-120,89.71,192.72,1.6144,225.69,-25.015,144.78,-45.534,-36.72
-116,22.948,175.46,-39.936,259.45,-55.748,158.86,-108.08,-9.0126
-112,-41.339,124.27,-65.216,238.95,-90.338,153.22,-154.64,1.2488
-108,-73.901,57.51,-52.456,175.53,-114.03,123.69,-168.12,-4.6165
-104,-61.046,-4.0776,1.1754,90.646,-115.77,75.319,-130.64,-18.905
-100,-12.368,-47.804,77.106,6.0244,-94.404,21.314,-38.158,-33.434
-96,42.23,-75.185,142.17,-65.164,-60.15,-23.158,87.679,-44.549
-92,66.553,-99.687,162.26,-121.99,-30.672,-48.537,199.8,-56.834
-88,37.075,-136.77,117.71,-172.81,-23.66,-55.178,241.41,-83.821
-84,-43.43,-191.71,13.668,-227.27,-49.44,-51.911,171.3,-143.14
-80,-145.77,-252.33,-119.91,-287.26,-106.47,-50.065,-14.246,-246.31
-76,-228.22,-291.48,-240.07,-341.86,-181.13,-56.856,-275,-388.49
-72,-256.33,-279.08,-309.14,-369.67,-251.74,-72.131,-540.39,-545.67
-68,-217.6,-198.19,-310.26,-348.7,-295.61,-90.041,-736.79,-682.96
-64,-124.2,-57.052,-251.69,-269.88,-296.91,-104.07,-815.74,-770.09
-60,-4.5851,109.95,-158.43,-146.53,-252.39,-111.82,-770.64,-794.74
-56,108.93,254.24,-57.546,-13.269,-172.55,-116.39,-636.13,-766.16
-52,190.26,332.88,33.042,87.486,-77.697,-123.54,-472.48,-708.02
-48,224.39,326.54,106.31,125.48,9.5761,-136.97,-341.97,-646.23
-44,208.32,246.65,160.36,97.873,72.031,-154.99,-286.28,-599
-40,150.14,128.5,192.44,30.484,102.72,-171.28,-312.13,-573.18
